Title,Year,Stars,Director,Genre
Slaughter's Big Ripoff,1973,"Jim Brown, Ed McMahon, Don Stroud",Gordon Douglas,Blaxploitation
Soul Brothers of Kung Fu,1977,"Meng Lo, Carl Scott, Feng Ku",Yi-Jung Hua,Blaxploitation
Superfly,1972,"Ron O’Neal, Carl Lee, Sheila Frazier",Gordon Parks Jr.,Blaxploitation
Sweet Sweetback’s Baadasssss Song,1971,"Melvin Van Peebles, Simon Chuckster, Hubert Scales",Melvin Van Peebles,Blaxploitation
That Man Bolt,1973,"Fred Williamson, Byron Webster, Miko Mayama","Henry Levin, David Lowell Rich",Blaxploitation
The Arena,1974,"Margaret Markov, Pam Grier, Lucretia Love",Steve Carver,Blaxploitation
The Beast Must Die,1974,"Calvin Lockhart, Peter Cushing, Marlene Clark",Paul Annett,Blaxploitation
The Big Bird Cage,1972,"Pam Grier, Anitra Ford, Candice Roman",Jack Hill,Blaxploitation
The Big Doll House,1971,"Roberta Collins, Pam Grier, Judith Brown",Jack Hill,Blaxploitation
The Black Gestapo,1975,"Rod Perry, Charles Robinson, Phil Hoover",Lee Frost,Blaxploitation
The Black Godfather,1974,"Rod Perry, Damu King, Don Chastain",John Evans,Blaxploitation
The Black Six,1973,"Robert Howard, Cindy Daly, Mikel Angel",Matt Cimber,Blaxploitation
The Candy Tangerine Man,1975,"John Daniels, Eli Haines, Tom Hankason",Matt Cimber,Blaxploitation
The Education of Sonny Carson,1974,"Rony Clanton, Don Gordon, Joyce Walker",Michael Campus,Blaxploitation
The Glove,1979,"John Saxon, Roosevelt Grier, Joanna Cassidy",Ross Hagen,Blaxploitation
The Harder they Come,1972,"Jimmy Cliff, Janet Bartley, Carl Bradshaw",Perry Henzell,Blaxploitation
The Hitter,1979,"Ron O’Neal, Sheila Frazier, Adolph Caesar",Christopher Leitch,Blaxploitation
The Human Tornado,1976,"Rudy Ray Moore, Lady Reed, Jimmy Lynch",Cliff Roquemore,Blaxploitation
The Mack,1973,"Max Julien, Don Gordon, Richard Pryor",Michael Campus,Blaxploitation
The Muthers,1976,"Jeannie Bell, Rosanne Katon, Trina Parks",Cirio H. Santiago,Blaxploitation
The Night of the Strangler aka Is the Father Black Enough?,1972,"Micky Dolenz, James Ralston, Michael Anthony",Joy N. Houck Jr,Blaxploitation
The Slams,1973,"Jim Brown, Judy Pace, Roland Bob Harris",Jonathan Kaplan,Blaxploitation
The Spook Who Sat by The Door,1973,"Lawrence Cook, Janet League, Paula Kelly",Ivan Dixon,Blaxploitation
The Take,1974,"Billy Dee Williams, Eddie Albert, Frankie Avalon",Robert Hartford-Davis,Blaxploitation
Thomasine and Bushrod,1974,"Max Julien, Vonetta McGee, George Murdock",Gordon Parks Jr.,Blaxploitation
Three the Hard Way,1974,"Jim Brown, Fred Williamson, Jim Kelly",Gordon Parks Jr.,Blaxploitation
Tick Tick Tick,1970,"Jim Brown, George Kennedy, Fredric March", Ralph Nelson,Blaxploitation
TNT Jackson,1974,"Jeannie Bell, Stan Shaw, Pat Anderson",Cirio H. Santiago,Blaxploitation
Trick Baby,1972,"Kiel Martin, Mel Stewart, Dallas Edward Hayes",Larry Yust,Blaxploitation
Trouble Man,1972,"Robert Hooks, Paul Winfield, Ralph Waite",Ivan Dixon,Blaxploitation
Truck Turner,1974,"Isaac Hayes, Yaphet Kotto, Alan Weeks",Jonathan Kaplan,Blaxploitation
Velvet Smooth,1976,"Johnnie Hill, Owen Watson, Emerson Boozer",Michael Fink,Blaxploitation
Way of the Black Dragon,1979,"Ron Van Clief, Charles Bonet, Lau Chan",Chih Chen,Blaxploitation
Welcome Home Brother Charles aka Soul Vengeance,1975,"Marlo Monte, Reatha Grey, Stan Kamber",Jamaa Fanaka,Blaxploitation
Willie Dynamite,1974,"Roscoe Orman, Diana Sands, Thalmus Rasulala",Gilbert Moses,Blaxploitation
