Title,Year,Stars,Director,Genre
"Honeybaby, Honeybaby",1974,"Diana Sands, Calvin Lockhart, Seth Allen",Michael Schultz,Action
Hot Potato,1976,"Jim Kelly, George Memmoli, Geoffrey Binney",Oscar Williams,Action
I Escaped from Devil’s Island,1973,"Jim Brown, Christopher George, Richard Ely",William Witney,Action
"I, Robot",2004,"Will Smith, Bridget Moynahan, Bruce Greenwood",Alex Proyas,Action
I'm Gonna Git You Sucka,1988,"Keenen Ivory Wayans, Bernie Casey, Antonio Fargas",Keenen Ivory Wayans,Action
JD's Revenge,1976,"Glynn Turman, Louis Gossett Jr., Joan Pringle",Arthur Marks,Action
Lean on Me,1989,"Morgan Freeman, Beverly Todd, Robert Guillaume",John G. Avildsen,Action
Lethal Weapon,1987,"Mel Gibson, Danny Glover, Gary Busey",Richard Donner,Action
Let's Do It Again,1975,"Sidney Poitier, Bill Cosby, Calvin Lockhart",Sidney Poitier,Action
Man on Fire,2004,"Denzel Washington, Christopher Walken, Dakota Fanning",Tony Scott,Action
Mandingo,1975,"James Mason, Susan George, Perry King",Richard Fleischer,Action
Mean Johnny Barrows,1976,"Fred Williamson, Roddy McDowall, Stuart Whitman",Fred Williamson,Action
Mean Mother,1974,"Dobie Gray, Dennis Safren, Luciana Paluzzi","Al Adamson, León Klimovsky",Action
Men in Black II,2002,"Tommy Lee Jones, Will Smith, Rip Torn",Barry Sonnenfeld,Action
Miracle at St. Anna,2008,"Derek Luke, Michael Ealy, Laz Alonso",Spike Lee,Action
Moonwalker,1988,"Michael Jackson, Joe Pesci, Sean Lennon","Jerry Kramer, Jim Blashfield, Colin Chilvers",Action
Mystery in Swing,1940,"Monte Hawley, Marguerite Whitten, Tommie Moore",Arthur Dreifuss,Action
National Security,2003,"Martin Lawrence, Steve Zahn, Colm Feore",Dennis Dugan,Action
"One Down, Two to Go",1976,"Fred Williamson, Jim Brown, Jim Kelly",Fred Williamson,Action
Original Gangstas,1996,"Fred Williamson, Jim Brown, Pam Grier",Larry Cohen,Action
Ricochet,1991,"Denzel Washington, John Lithgow, Ice-T",Russell Mulcahy,Action
Rosewood,1997,"Jon Voight, Ving Rhames, Don Cheadle",John Singleton,Action
Rush Hour,1998,"Jackie Chan, Chris Tucker, Ken Leung",Brett Ratner,Action
Rush Hour 2,2001," Jackie Chan, Chris Tucker, John Lone",Brett Ratner,Action
Rush Hour 3,2007,"Jackie Chan, Chris Tucker, Max von Sydow",Brett Ratner,Action
Safe House,2012,"Denzel Washington, Ryan Reynolds, Robert Patrick",Daniel Espinosa,Action
"See No Evil, Hear No Evil",1989,"Richard Pryor, Gene Wilder, Joan Severance",Arthur Hiller,Action
Set It Off,1996,"Jada Pinkett Smith, Queen Latifah, Vivica A. Fox",F. Gary Gray,Action
Shaft,1971,"Richard Roundtree, Moses Gunn, Charles Cioffi",Gordon Parks,Action
Shaft in Africa,1973,"Richard Roundtree, Frank Finlay, Vonetta McGee", John Guillermin,Action
