Title,Year,Stars,Director,Genre
Meet the Browns,2008,"Tamela J. Mann, Angela Bassett, Tyler Perry",Tyler Perry,Romance
Miracle in Harlem,1948,"Sheila Guyse, Stepin Fetchit, Hilda Offley",Jack Kemp,Romance
Mississippi Masala,1991,"Denzel Washington, Sarita Choudhury, Roshan Seth",Mira Nair,Romance
Monster's Ball,2001,"Billy Bob Thornton, Halle Berry, Taylor Simpson",Marc Forster,Romance
Moon Over Harlem,1939,"Buddy Harris, Cora Green, Izinetta Wilcox",Edgar G. Ulmer,Romance
Mo' Money,1992,"Damon Wayans, Stacey Dash, Marlon Wayans",Peter MacDonald,Romance
Mr. 3000,2004,"Bernie Mac, Angela Bassett, Michael Rispoli",Charles Stone III,Romance
Not Easily Broken,2009,"Morris Chestnut, Taraji P. Henson, Maeve Quinlan",Bill Duke,Romance
Note to Self,2012,"Christian Keyes, Richard T. Jones, Chidi Ajufo",Trey Haley,Romance
Nothing But a Man,1964,"Ivan Dixon, Abbey Lincoln, Julius Harris",Michael Roemer,Romance
Once Upon a Time When We Were Colored,1995,"Al Freeman Jr., Phylicia Rashad, Leon",Tim Reid,Romance
One Week,2000,"Kenny Young, Saadiqa Muhammad, Eric Lane",Carl Seaton,Romance
Our Family Wedding,2010,"America Ferrera, Forest Whitaker, Carlos Mencia",Rick Famuyiwa,Romance
Perfect Combination,2010,"Christian Keyes, Tiffany Hines, Angell Conwell",Trey Haley,Romance
Perfect Man,2011,"Malika Blessing, Maya Gilbert, Christian Keyes",Paul D. Hannah,Romance
Playas Ball,2003,"Allen Payne, Elise Neal, Anthony ‘Treach’ Criss", Jennifer Harper,Romance
Poetic Justice,1993,"Janet Jackson, Tupac Shakur, Regina King",John Singleton,Romance
Purple Rain,1984,"Prince, Apollonia Kotero, Morris Day",Albert Magnoli,Romance
She's Gotta Have It,1986,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell",Spike Lee,Romance
Something New,2006,"Sanaa Lathan, Simon Baker, Golden Brooks",Sanaa Hamri,Romance
Stomp the Yard,2007,"Columbus Short, Meagan Good, Ne-Yo",Sylvain White,Romance
