Title,Year,Stars,Director,Genre
Darktown Strutters,1975,"Trina Parks, Edna Richardson, Bettye Sweet",William Witney,Comedy
"David E. Talbert He Say, She Say But What Does God Say?",2004,"Clifton Powell, N’Bushe Wright, Thomas A. Ford",David E. Talbert,Comedy
Death at a Funeral,2010,"Chris Rock, Martin Lawrence, Keith David",Neil LaBute,Comedy
Deliver Us from Eva,2003,"Gabrielle Union, LL Cool J, Essence Atkins",Gary Hardwick,Comedy
Diary of a Mad Black Woman,2005,"Kimberly Elise, Steve Harris, Tyler Perry",Darren Grant,Comedy
Diary of a Tired Black Man,2008,"Jimmy Jean-Louis, Paula Lema, Tim Alexander",Tim Alexander,Comedy
Dirty Laundry,2006,"Rockmond Dunbar, Loretta Devine, Jenifer Lewis",Maurice Jamal,Comedy
Disorderlies,1987,"Darren Robinson, Damon Wimbley, Mark Morales",Michael Schultz,Comedy
Diva's Christmas Carol,2000,"Vanessa Williams, Rozonda ‘Chilli’ Thomas, John Taylor",Richard Schenkman,Comedy
Dolemite,1975,"Rudy Ray Moore, D’Urville Martin, Jerry Jones",D'Urville Martin,Comedy
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,"Shawn Wayans, Marlon Wayans, Keenen Ivory Wayans",Paris Barclay,Comedy
Don't Play Us Cheap,1973,"Thomas Anderson, Jay Van Leer, Robert Dunn",Melvin Van Peebles,Comedy
Double Deal,1939,"Monte Hawley, Jeni Le Gon, Edward Thompson",Arthur Dreifuss,Comedy
Double Take,2001,"Orlando Jones, Eddie Griffin, Gary Grubbs",George Gallo,Comedy
Double Wedding,2010,"Tamera Mowry-Housley, Tia Mowry-Hardrict, O.T. Fagbenle",Craig Pryce,Comedy
Down to Earth,2001,"Chris Rock, Regina King, Chazz Palminteri","Chris Weitz, Paul Weitz",Comedy
Dr. Doolittle,1998,"Eddie Murphy, Peter Boyle, Ossie Davis",Betty Thomas,Comedy
Dr. Doolittle 2,2001,"Eddie Murphy, Cedric the Entertainer, Kristen Wilson",Steve Carr,Comedy
Dr. Doolittle 3,2006,"Kristen Wilson, Tara Wilson, Kyla Pratt",Rich Thorne,Comedy
Driving Miss Daisy,1989,"Morgan Freeman, Jessica Tandy, Dan Aykroyd",Bruce Beresford,Comedy
Drumline,2002,"Nick Cannon, Zoe Saldana, Orlando Jones",Charles Stone III,Comedy
Dysfunctional Friends,2012,"Stacey Dash, Reagan Gomez-Preston, Wesley Jonathan",Corey Grant,Comedy
Eddie,1996,"Whoopi Goldberg, Frank Langella, Dennis Farina",Steve Rash,Comedy
Fat Albert,2004,"Kenan Thompson, Kyla Pratt, Omarion Grandberry",Joel Zwick,Comedy
Fear of a Black Hat,1993,"Larry B. Scott, Mark Christopher Lawrence, Rusty Cundieff",Rusty Cundieff,Comedy
Fish that Saved Pittsburgh,1979,"Julius Erving, Jonathan Winters, Meadowlark Lemon",Gilbert Moses,Comedy
Five on the Black Hand Side,1973,"Godfrey Cambridge, Clarice Taylor, Leonard Jackson",Oscar Williams,Comedy
Foolish,1999,"Eddie Griffin, Master P, Amie Petersen",Dave Meyers,Comedy
For Love of Ivy,1968,"Sidney Poitier, Abbey Lincoln, Beau Bridges",Daniel Mann,Comedy
Foxy Brown,1974,"Pam Grier, Antonio Fargas, Peter Brown",Jack Hill,Comedy
