Title,Year,Stars,Director,Genre
Blue Hill Avenue,2001,"Allen Payne, Angelle Brooks, Michael Taliferro",Craig Ross Jr.,Drama
Body and Soul,1925,"Paul Robeson, Marshall Rogers, Lawrence Chenault",Oscar Micheaux,Drama
Body and Soul,1981,"Leon Isaac Kennedy, Jayne Kennedy, Perry Lang",George Bowers,Drama
Boesman and Lena,2000,"Danny Glover, Angela Bassett, Willie Jonah",John Berry,Drama
Bone,1972,"Yaphet Kotto, Andrew Duggan, Joyce Van Patten",Larry Cohen,Drama
Book of Numbers,1973,"Raymond St. Jacques, Philip Michael Thomas, Freda Payne",Raymond St. Jacques,Drama
Boomerang,1992,"Eddie Murphy, Robin Givens, Halle Berry",Reginald Hudlin,Drama
Bopha!,1993,"Danny Glover, Malcolm McDowell, Alfre Woodard",Morgan Freeman,Drama
Boycott,2001,"Jeffrey Wright, Terrence Howard, CCH Pounder",Clark Johnson,Drama
Boyz 'N the Hood,1991,"Cuba Gooding Jr., Laurence Fishburne, Hudhail Al-Amir", John Singleton,Drama
Brian's Song,1971,"James Caan, Billy Dee Williams, Jack Warden",Buzz Kulik,Drama
Bright Road,1953,"Dorothy Dandridge, Philip Hepburn, Harry Belafonte",Gerald Mayer,Drama
Broken Strings,1940,"Clarence Muse, Sybil Lewis, William Washington",Bernard B. Ray,Drama
Brooklyn Babylon,2001,"Tariq Trotter, Karen Starc, Bonz Malone",Marc Levin,Drama
Brother John,1971,"Sidney Poitier, Will Geer, Bradford Dillman", James Goldstone,Drama
Brother to Brother,2004,"Anthony Mackie, Lawrence Gilliard Jr., Duane Boutte",Rodney Evans,Drama
Brown Sugar,2002,"Taye Diggs, Sanaa Lathan, Mos Def",Rick Famuyiwa,Drama
Brubaker,1980,"Robert Redford, Yaphet Kotto, Morgan Freeman",Stuart Rosenberg,Drama
Buck and the Preacher,1972,"Sidney Poitier, Harry Belafonte, Ruby Dee",Sidney Poitier,Drama
Bucktown,1975,"Fred Williamson, Pam Grier, Thalmus Rasulala",Arthur Marks,Drama
Buffalo Soldiers,1997,"Lamont Bentley, Tom Bower, Timothy Busfield",Charles Haid,Drama
Bush Mama,1979,"Barbarao, Johnny Weathers, Susan Williams",Haile Gerima,Drama
Cabin in the Sky,1943,"Ethel Waters, Eddie ‘Rochester’ Anderson, Lena Horne",Vincente Minnelli,Drama
Car Wash,1976,"Richard Pryor, Franklyn Ajaye, Darrow Igus",Michael Schultz,Drama
Carmen Jones,1954,"Harry Belafonte, Dorothy Dandridge, Pearl Bailey",Otto Preminger,Drama
Carmen: A Hip Hopera,2001,"Mekhi Phifer, Beyoncé Knowles, Mos Def",Robert Townsend,Drama
Carter's Army aka Black Brigade,1970,"Stephen Boyd, Robert Hooks, Susan Oliver",George McCowan,Drama
Catfish in Black Bean Sauce,1999,"Chi Muoi Lo, Sanaa Lathan, Paul Winfield",Chi Muoi Lo,Drama
Caught Up,1998,"Bokeem Woodbine, Cynda Williams, Damon Saleem",Darin Scott,Drama
Chasing Secrets aka The Secret Path,1999,"Della Reese, Crystal Bernard, Madeline Zima",Bruce Pittman,Drama
Cinderella Liberty,1973,"James Caan, Marsha Mason, Kirk Calloway",Mark Rydell,Drama
Civil Brand,2002,"LisaRaye, N’Bushe Wright, Mos Def",Neema Barnette,Drama
Claudine,1974,"Diahann Carroll, James Earl Jones, Lawrence Hilton-Jacobs",John Berry,Drama
Clockers,1995,"Harvey Keitel, John Turturro, Delroy Lindo",Spike Lee,Drama
Clover,1997,"Elizabeth McGovern, Ernie Hudson, Zelda Harris",Jud Taylor,Drama
Coach Carter,2005,"Samuel L. Jackson, Rick Gonzalez, Robert Ri’chard",Thomas Carter,Drama
College Road Trip,2008,"Raven-Symoné, Martin Lawrence, Kym Whitley",Roger Kumble,Drama
Coming to America,1988,"Eddie Murphy, Arsenio Hall, James Earl Jones",John Landis,Drama
Constellation,2005,"Gabrielle Union, Billy Dee Williams, Zoe Saldana",Jordan Walker-Pearlman,Drama
Cool Breeze,1972,"Thalmus Rasulala, Judy Pace, James Watkins",Barry Pollack,Drama
Cooley High,1975,"Glynn Turman, Lawrence Hilton-Jacobs, Garrett Morris",Michael Schultz,Drama
Coonskin,1975,"Barry White, Charles Gordone, Scatman Crothers",Ralph Bakshi,Drama
Cora Unashamed,2000,"Regina Taylor, Cherry Jones, Ellen Muth",Deborah Pratt,Drama
"Cornbread, Earl and Me",1975,"Moses Gunn, Rosalind Cash, Bernie Casey",Joseph Manduke,Drama
"Corrina, Corrina",1994,"Ray Liotta, Whoopi Goldberg, Tina Majorino",Jessie Nelson,Drama
Corrupt,1999,"Silkk Tha Shocker, Ice-T, Tarsha Nicole Jones",Albert Pyun,Drama
Courage Under Fire,1996,"Denzel Washington, Meg Ryan, Lou Diamond Phillips",Edward Zwick,Drama
Cover,2007,"Aunjanue Ellis, Razaaq Adoti, Vivica A. Fox",Bill Duke,Drama
Crash,2004,"Don Cheadle, Sandra Bullock, Thandie Newton",Paul Haggis,Drama
Crooklyn,1994,"Alfre Woodard, Delroy Lindo, David Patrick Kelly",Spike Lee,Drama
Cry Freedom,1987,"Denzel Washington, Kevin Kline, Josette Simon",Richard Attenborough,Drama
Daddy's Little Girls,2007,"Gabrielle Union, Idris Elba, Tracee Ellis Ross",Tyler Perry,Drama
Dancing in September,2000,"Tichina Arnold, James Avery, Jenica Bergere",Reggie Rock Bythewood,Drama
Dark Manhattan,1937,"Ralph Cooper, Cleo Herndon, Clarence Brooks",Harry L. Fraser,Drama
Daughters of the Dust,1991,"Cora Lee Day, Alva Rogers, Barbarao",Julie Dash,Drama
"David E. Talbert He Say, She Say But What Does God Say?",2004,"Clifton Powell, N’Bushe Wright, Thomas A. Ford",David E. Talbert,Drama
Deacons for Defense,2003,"Forest Whitaker, Chris Britton, Jonathan Silverman",Bill Duke,Drama
Dead Presidents,1995,"Larenz Tate, Keith David, Chris Tucker","Albert Hughes, Allen Hughes",Drama
Death Journey,1976,"Fred Williamson, Bernard Kirby, Art Maier",Fred Williamson,Drama
Deliver Us from Eva,2003,"Gabrielle Union, LL Cool J, Essence Atkins",Gary Hardwick,Drama
Deliver Us from Evil,1977,"Marie O’Henry, Renny Roker, Candi Keath",Horace Jackson,Drama
Detroit 9000,1973,"Hari Rhodes, Alex Rocco, Vonetta McGee",Arthur Marks,Drama
Devil in a Blue Dress,1995,"Denzel Washington, Tom Sizemore, Jennifer Beals",Carl Franklin,Drama
