Rank,Release Group,Worldwide,Domestic,%,Foreign,%
87,Super Me,"$1,100,000",-,-,"$1,100,000",100%
88,Aria the Crepuscolo,"$1,087,319",-,-,"$1,087,319",100%
89,The Way We Keep Dancing,"$1,074,644",-,-,"$1,074,644",100%
90,Extinct,"$1,052,320",-,-,"$1,052,320",100%
91,Shadow in the Cloud,"$1,024,767","$156,932",15.3%,"$867,835",84.7%
92,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
93,A Stand Worthy of Men,"$985,584",-,-,"$985,584",100%
94,Cousins,"$960,995",-,-,"$960,995",100%
95,Zoya,"$944,885",-,-,"$944,885",100%
96,Ensemble Stars!! Es Music Garden Delay Viewing,"$880,373",-,-,"$880,373",100%
97,In the Mood for Love 2020 Re-release,"$864,284",-,-,"$864,284",100%
98,The Box,"$822,022",-,-,"$822,022",100%
99,Lamb of God: The Concert Film,"$734,625","$734,625",100%,-,-
100,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
101,Long Story Short,"$664,113",-,-,"$664,113",100%
102,Our Friend,"$663,725","$663,725",100%,-,-
103,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
104,Music,"$641,783",-,-,"$641,783",100%
105,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
106,Maya the Bee 3: The Golden Orb,"$544,576",-,-,"$544,576",100%
107,Long Weekend,"$527,993","$527,993",100%,-,-
108,Dark Spell,"$515,596",-,-,"$515,596",100%
109,In the Earth,"$505,723","$505,723",100%,-,-
110,The Truffle Hunters,"$479,230","$68,549",14.3%,"$410,681",85.7%
111,Girls Can't Surf,"$454,188",-,-,"$454,188",100%
112,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
113,Twist,"$438,168",-,-,"$438,168",100%
114,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
115,Ready o/r Knot,"$418,994",-,-,"$418,994",100%
116,Willy's Wonderland,"$418,286","$418,286",100%,-,-
117,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
118,One,"$407,871",-,-,"$407,871",100%
119,Ainbo,"$406,475",-,-,"$406,475",100%
120,Riders of Justice,"$376,314",-,-,"$376,314",100%
121,The Vault,"$366,193",-,-,"$366,193",100%
122,Russian Yug,"$348,435",-,-,"$348,435",100%
123,My Salinger Year,"$347,711","$54,730",15.7%,"$292,981",84.3%
124,Earwig and the Witch,"$347,650","$173,704",50%,"$173,946",50%
125,Supernova,"$345,094","$234,220",67.9%,"$110,874",32.1%
126,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
127,Occupation: Rainfall,"$331,091",-,-,"$331,091",100%
128,Dutch,"$323,167","$323,167",100%,-,-
129,2021 Oscar Nominated Short Films: Live Action,"$306,395","$306,395",100%,-,-
130,Kabadadaari,"$302,563",-,-,"$302,563",100%
