Title,Genre,Year,Director,Stars,Worldwide,Domestic,%,Foreign,%.1
Deliver Us from Eva,Romance,2003,Gary Hardwick,"Gabrielle Union, LL Cool J, Essence Atkins","$17,573,594","$17,573,594",100%,-,-
Deliver Us from Eva,Drama,2003,Gary Hardwick,"Gabrielle Union, LL Cool J, Essence Atkins","$17,573,594","$17,573,594",100%,-,-
Diary of a Mad Black Woman,Comedy,2005,Darren Grant,"Kimberly Elise, Steve Harris, Tyler Perry","$50,652,203","$50,633,099",100%,"$19,104",<0.1%
Diary of a Mad Black Woman,Romance,2005,Darren Grant,"Kimberly Elise, Steve Harris, Tyler Perry","$50,652,203","$50,633,099",100%,"$19,104",<0.1%
Diary of a Mad Black Woman,Drama,2005,Darren Grant,"Kimberly Elise, Steve Harris, Tyler Perry","$50,652,203","$50,633,099",100%,"$19,104",<0.1%
Dirty Laundry,Comedy,2006,Maurice Jamal,"Rockmond Dunbar, Loretta Devine, Jenifer Lewis","$20,138","$20,138",100%,-,-
Dirty Laundry,Drama,2006,Maurice Jamal,"Rockmond Dunbar, Loretta Devine, Jenifer Lewis","$20,138","$20,138",100%,-,-
Disorderlies,Comedy,1987,Michael Schultz,"Darren Robinson, Damon Wimbley, Mark Morales","$10,348,437","$10,348,437",100%,-,-
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,1996,Paris Barclay,"Shawn Wayans, Marlon Wayans, Keenen Ivory Wayans","$20,109,115","$20,109,115",100%,-,-
Down to Earth,Comedy,2001,"Chris Weitz, Paul Weitz","Chris Rock, Regina King, Chazz Palminteri","$71,186,502","$64,186,502",90.2%,"$7,000,000",9.8%
Down to Earth,Romance,2001,"Chris Weitz, Paul Weitz","Chris Rock, Regina King, Chazz Palminteri","$71,186,502","$64,186,502",90.2%,"$7,000,000",9.8%
Driving Miss Daisy,Comedy,1989,Bruce Beresford,"Morgan Freeman, Jessica Tandy, Dan Aykroyd","$106,593,296","$106,593,296",100%,-,-
Driving Miss Daisy,Drama,1989,Bruce Beresford,"Morgan Freeman, Jessica Tandy, Dan Aykroyd","$106,593,296","$106,593,296",100%,-,-
Drumline,Comedy,2002,Charles Stone III,"Nick Cannon, Zoe Saldana, Orlando Jones","$57,588,485","$56,399,184",97.9%,"$1,189,301",2.1%
Drumline,Romance,2002,Charles Stone III,"Nick Cannon, Zoe Saldana, Orlando Jones","$57,588,485","$56,399,184",97.9%,"$1,189,301",2.1%
Drumline,Drama,2002,Charles Stone III,"Nick Cannon, Zoe Saldana, Orlando Jones","$57,588,485","$56,399,184",97.9%,"$1,189,301",2.1%
Dysfunctional Friends,Comedy,2012,Corey Grant,"Stacey Dash, Reagan Gomez-Preston, Wesley Jonathan","$13,546","$13,546",100%,-,-
Eddie,Comedy,1996,Steve Rash,"Whoopi Goldberg, Frank Langella, Dennis Farina","$31,387,164","$31,387,164",100%,-,-
Fear of a Black Hat,Comedy,1993,Rusty Cundieff,"Larry B. Scott, Mark Christopher Lawrence, Rusty Cundieff","$233,824","$233,824",100%,-,-
Foolish,Comedy,1999,Dave Meyers,"Eddie Griffin, Master P, Amie Petersen","$6,033,999","$6,033,999",100%,-,-
Friday,Comedy,1995,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long","$27,467,564","$27,467,564",100%,-,-
Friday,Drama,1995,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long","$27,467,564","$27,467,564",100%,-,-
Friday After Next,Comedy,2002,Marcus Raboy,"Ice Cube, Mike Epps, John Witherspoon","$33,526,835","$33,253,609",99.2%,"$273,226",0.8%
Friday After Next,Drama,2002,Marcus Raboy,"Ice Cube, Mike Epps, John Witherspoon","$33,526,835","$33,253,609",99.2%,"$273,226",0.8%
Girl 6,Comedy,1996,Spike Lee,"Theresa Randle, Isaiah Washington, Spike Lee","$4,939,939","$4,939,939",100%,-,-
Girl 6,Drama,1996,Spike Lee,"Theresa Randle, Isaiah Washington, Spike Lee","$4,939,939","$4,939,939",100%,-,-
Glory Road,Comedy,2006,James Gartner,"Josh Lucas, Derek Luke, Austin Nichols","$42,938,449","$42,647,449",99.3%,"$291,000",0.7%
Glory Road,Drama,2006,James Gartner,"Josh Lucas, Derek Luke, Austin Nichols","$42,938,449","$42,647,449",99.3%,"$291,000",0.7%
Good Deeds,Comedy,2012,Tyler Perry,"Tyler Perry, Gabrielle Union, Thandie Newton","$35,579,177","$35,025,791",98.4%,"$553,386",1.6%
Good Deeds,Romance,2012,Tyler Perry,"Tyler Perry, Gabrielle Union, Thandie Newton","$35,579,177","$35,025,791",98.4%,"$553,386",1.6%
Good Deeds,Drama,2012,Tyler Perry,"Tyler Perry, Gabrielle Union, Thandie Newton","$35,579,177","$35,025,791",98.4%,"$553,386",1.6%
Gridlock'd,Comedy,1997,Vondie Curtis-Hall,"Tupac Shakur, Tim Roth, Thandie Newton","$5,571,205","$5,571,205",100%,-,-
Guess Who,Comedy,2005,Kevin Rodney Sullivan,"Ashton Kutcher, Bernie Mac, Zoe Saldana","$103,121,466","$68,915,888",66.8%,"$34,205,578",33.2%
Guess Who,Romance,2005,Kevin Rodney Sullivan,"Ashton Kutcher, Bernie Mac, Zoe Saldana","$103,121,466","$68,915,888",66.8%,"$34,205,578",33.2%
Hangin' with the Homeboys,Comedy,1991,Joseph B. Vasquez,"Doug E. Doug, Mario Joyner, John Leguizamo","$532,933","$532,933",100%,-,-
Hangin' with the Homeboys,Drama,1991,Joseph B. Vasquez,"Doug E. Doug, Mario Joyner, John Leguizamo","$532,933","$532,933",100%,-,-
Harlem Nights,Comedy,1989,Eddie Murphy,"Eddie Murphy, Richard Pryor, Redd Foxx","$60,864,870","$60,864,870",100%,-,-
Harlem Nights,Drama,1989,Eddie Murphy,"Eddie Murphy, Richard Pryor, Redd Foxx","$60,864,870","$60,864,870",100%,-,-
Hav Plenty,Comedy,1997,Christopher Scott Cherot,"Christopher Scott Cherot, Chenoa Maxwell, Tammi Katherine Jones","$2,284,034","$2,284,034",100%,-,-
Head of State,Comedy,2003,Chris Rock,"Chris Rock, Bernie Mac, Lynn Whitfield","$38,620,484","$38,125,247",98.7%,"$495,237",1.3%
Heart Condition,Comedy,1990,James D. Parriott,"Bob Hoskins, Denzel Washington, Chloe Webb","$4,134,992","$4,134,992",100%,-,-
Heart Condition,Drama,1990,James D. Parriott,"Bob Hoskins, Denzel Washington, Chloe Webb","$4,134,992","$4,134,992",100%,-,-
Heart Condition,Action,1990, James D. Parriott,"Bob Hoskins, Denzel Washington, Chloe Webb","$4,134,992","$4,134,992",100%,-,-
Hollywood Shuffle,Comedy,1987,Robert Townsend,"Robert Townsend, Craigus R. Johnson, Helen Martin","$5,228,617","$5,228,617",100%,-,-
House Party,Comedy,1990,Reginald Hudlin,"Christopher Reid, Robin Harris, Christopher Martin","$26,385,627","$26,385,627",100%,-,-
House Party,Romance,1990,Reginald Hudlin,"Christopher Reid, Robin Harris, Christopher Martin","$26,385,627","$26,385,627",100%,-,-
House Party 2,Comedy,1991,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence","$19,438,638","$19,438,638",100%,-,-
House Party 2,Drama,1991,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence","$19,438,638","$19,438,638",100%,-,-
House Party 3,Comedy,1994,Eric Meza,"Christopher Reid, Christopher Martin, David Edwards","$19,281,235","$19,281,235",100%,-,-
House Party 3,Romance,1994,Eric Meza,"Christopher Reid, Christopher Martin, David Edwards","$19,281,235","$19,281,235",100%,-,-
How High,Comedy,2001,Jesse Dylan,"Method Man, Redman, Obba Babatundé","$31,283,740","$31,178,740",99.7%,"$105,000",0.3%
I Got the Hook Up,Comedy,1998,Michael Martin,"Master P, Anthony Johnson, Gretchen Palmer","$10,317,779","$10,317,779",100%,-,-
I Think I Love My Wife,Comedy,2007,Chris Rock,"Chris Rock, Kerry Washington, Gina Torres","$13,369,768","$12,550,605",93.9%,"$819,163",6.1%
I Think I Love My Wife,Romance,2007,Chris Rock,"Chris Rock, Kerry Washington, Gina Torres","$13,369,768","$12,550,605",93.9%,"$819,163",6.1%
I Think I Love My Wife,Drama,2007,Chris Rock,"Chris Rock, Kerry Washington, Gina Torres","$13,369,768","$12,550,605",93.9%,"$819,163",6.1%
I'm Gonna Git You Sucka,Comedy,1988,Keenen Ivory Wayans,"Keenen Ivory Wayans, Bernie Casey, Antonio Fargas","$13,030,057","$13,030,057",100%,-,-
I'm Gonna Git You Sucka,Action,1988,Keenen Ivory Wayans,"Keenen Ivory Wayans, Bernie Casey, Antonio Fargas","$13,030,057","$13,030,057",100%,-,-
Johnson Family Vacation,Comedy,2004,Christopher Erskin,"Cedric the Entertainer, Shannon Elizabeth, Bow Wow","$31,326,183","$31,203,964",99.6%,"$122,219",0.4%
Jumping the Broom,Comedy,2011,Salim Akil,"Paula Patton, Laz Alonso, Angela Bassett","$38,158,601","$37,295,394",97.7%,"$863,207",2.3%
Jumping the Broom,Drama,2011,Salim Akil,"Paula Patton, Laz Alonso, Angela Bassett","$38,158,601","$37,295,394",97.7%,"$863,207",2.3%
Just Wright,Comedy,2010,Sanaa Hamri,"Queen Latifah, Common, Paula Patton","$21,584,424","$21,540,363",99.8%,"$44,061",0.2%
Just Wright,Romance,2010,Sanaa Hamri,"Queen Latifah, Common, Paula Patton","$21,584,424","$21,540,363",99.8%,"$44,061",0.2%
Juwanna Mann,Comedy,2002,Jesse Vaughan,"Miguel A. Núñez Jr., Christopher Simmons, Vivica A. Fox","$13,802,599","$13,670,733",99%,"$131,866",1%
Juwanna Mann,Romance,2002, Jesse Vaughan,"Miguel A. Núñez Jr., Christopher Simmons, Vivica A. Fox","$13,802,599","$13,670,733",99%,"$131,866",1%
Juwanna Mann,Drama,2002,Jesse Vaughan,"Miguel A. Núñez Jr., Christopher Simmons, Vivica A. Fox","$13,802,599","$13,670,733",99%,"$131,866",1%
Krush Groove,Comedy,1985,Michael Schultz,"Sheila E., Joseph Simmons, Darryl McDaniels","$11,052,713","$11,052,713",100%,-,-
Krush Groove,Drama,1985,Michael Schultz,"Sheila E., Joseph Simmons, Darryl McDaniels","$11,052,713","$11,052,713",100%,-,-
Last Holiday,Comedy,2006,Wayne Wang,"Queen Latifah, LL Cool J, Timothy Hutton","$43,451,846","$38,399,961",88.4%,"$5,051,885",11.6%
Last Holiday,Drama,2006,Wayne Wang,"Queen Latifah, LL Cool J, Timothy Hutton","$43,451,846","$38,399,961",88.4%,"$5,051,885",11.6%
Little Man,Comedy,2006,Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans, Kerry Washington","$104,003,322","$58,645,052",56.4%,"$45,358,270",43.6%
Livin' Large!,Comedy,1991,Michael Schultz,"Terrence ‘T.C.’ Carson, Lisa Arrindell Anderson, Blanche Baker","$5,467,959","$5,467,959",100%,-,-
Livin' Large!,Drama,1991,Michael Schultz,"Terrence ‘T.C.’ Carson, Lisa Arrindell Anderson, Blanche Baker","$5,467,959","$5,467,959",100%,-,-
Lottery Ticket,Comedy,2010,Erik White,"Bow Wow, Brandon T. Jackson, Naturi Naughton","$24,719,879","$24,719,879",100%,-,-
Love Don't Cost a Thing,Comedy,2003,Troy Byer,"Nick Cannon, Christina Milian, Jordan Burg","$21,964,072","$21,924,226",99.8%,"$39,846",0.2%
Love Don't Cost a Thing,Drama,2003,Troy Byer,"Nick Cannon, Christina Milian, Jordan Burg","$21,964,072","$21,924,226",99.8%,"$39,846",0.2%
Made in America,Comedy,1993,Richard Benjamin,"Whoopi Goldberg, Ted Danson, Will Smith","$44,942,695","$44,942,695",100%,-,-
Madea Goes to Jail,Comedy,2009,Tyler Perry,"Tyler Perry, Keshia Knight Pulliam, Derek Luke","$90,508,336","$90,508,336",100%,-,-
Madea Goes to Jail,Drama,2009,Tyler Perry,"Tyler Perry, Keshia Knight Pulliam, Derek Luke","$90,508,336","$90,508,336",100%,-,-
Madea's Big Happy Family,Comedy,2011,Tyler Perry,"Tyler Perry, Loretta Devine, Bow Wow","$54,161,287","$53,345,287",98.5%,"$816,000",1.5%
Madea's Family Reunion,Comedy,2006,Tyler Perry,"Tyler Perry, Blair Underwood, Lynn Whitfield","$63,368,939","$63,318,000",99.9%,"$50,939",<0.1%
Madea's Witness Protection,Comedy,2012,Tyler Perry,"Tyler Perry, Eugene Levy, Denise Richards","$66,899,242","$65,653,242",98.1%,"$1,246,000",1.9%
Major Payne,Comedy,1995,Nick Castle,"Damon Wayans, Michael Ironside, Scott Bigalow","$29,412,050","$29,412,050",100%,-,-
Meet the Browns,Comedy,2008,Tyler Perry,"Tamela J. Mann, Angela Bassett, Tyler Perry","$41,975,388","$41,975,388",100%,-,-
Meet the Browns,Romance,2008,Tyler Perry,"Tamela J. Mann, Angela Bassett, Tyler Perry","$41,975,388","$41,975,388",100%,-,-
Men in Black,Comedy,1997,Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Linda Fiorentino","$250,690,539","$250,690,539",100%,-,-
Men in Black II,Comedy,2002,Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Rip Torn","$441,818,803","$190,418,803",43.1%,"$251,400,000",56.9%
Men in Black II,Action,2002,Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Rip Torn","$441,818,803","$190,418,803",43.1%,"$251,400,000",56.9%
Mississippi Masala,Comedy,1991,Mira Nair,"Denzel Washington, Sarita Choudhury, Roshan Seth","$7,308,786","$7,308,786",100%,-,-
Mississippi Masala,Romance,1991,Mira Nair,"Denzel Washington, Sarita Choudhury, Roshan Seth","$7,308,786","$7,308,786",100%,-,-
Moving,Comedy,1988,Alan Metter,"Richard Pryor, Beverly Todd, Stacey Dash","$10,815,378","$10,815,378",100%,-,-
Mo' Money,Comedy,1992,Peter MacDonald,"Damon Wayans, Stacey Dash, Marlon Wayans","$40,227,006","$40,227,006",100%,-,-
Mo' Money,Romance,1992,Peter MacDonald,"Damon Wayans, Stacey Dash, Marlon Wayans","$40,227,006","$40,227,006",100%,-,-
Mr. 3000,Comedy,2004,Charles Stone III,"Bernie Mac, Angela Bassett, Michael Rispoli","$21,839,377","$21,811,187",99.9%,"$28,190",0.1%
Mr. 3000,Romance,2004,Charles Stone III,"Bernie Mac, Angela Bassett, Michael Rispoli","$21,839,377","$21,811,187",99.9%,"$28,190",0.1%
Next Friday,Comedy,2000,Steve Carr,"Ice Cube, Mike Epps, Justin Pierce","$59,827,328","$57,328,603",95.8%,"$2,498,725",4.2%
Our Family Wedding,Comedy,2010,Rick Famuyiwa,"America Ferrera, Forest Whitaker, Carlos Mencia","$21,409,028","$20,255,281",94.6%,"$1,153,747",5.4%
Our Family Wedding,Romance,2010,Rick Famuyiwa,"America Ferrera, Forest Whitaker, Carlos Mencia","$21,409,028","$20,255,281",94.6%,"$1,153,747",5.4%
Phat Beach,Comedy,1996,Doug Ellin,"Jermaine ‘Huggy’ Hopkins, Brian Hooks, Claudia Kaleem","$1,383,553","$1,383,553",100%,-,-
Phat Girlz,Comedy,2006,Nnegest Likké,"Mo’Nique, Kendra C. Johnson, Jimmy Jean-Louis","$7,403,491","$7,061,128",95.4%,"$342,363",4.6%
Pootie Tang,Comedy,2001,Louis C.K.,"Chris Rock, Lance Crouther, J.B. Smoove","$3,313,583","$3,313,583",100%,-,-
Preaching to the Choir,Comedy,2005,Charles Randolph-Wright,"Billoah Greene, Darien Sills-Evans, Novella Nelson","$405,191","$405,191",100%,-,-
Roll Bounce,Comedy,2005,Malcolm D. Lee,"Bow Wow, Nick Cannon, Meagan Good","$17,500,866","$17,380,866",99.3%,"$120,000",0.7%
Rush Hour,Comedy,1998,Brett Ratner,"Jackie Chan, Chris Tucker, Ken Leung","$244,386,864","$141,186,864",57.8%,"$103,200,000",42.2%
Rush Hour,Action,1998,Brett Ratner,"Jackie Chan, Chris Tucker, Ken Leung","$244,386,864","$141,186,864",57.8%,"$103,200,000",42.2%
Rush Hour 2,Comedy,2001,Brett Ratner,"Jackie Chan, Chris Tucker, John Lone","$347,325,802","$226,164,286",65.1%,"$121,161,516",34.9%
Rush Hour 2,Action,2001,Brett Ratner," Jackie Chan, Chris Tucker, John Lone","$347,325,802","$226,164,286",65.1%,"$121,161,516",34.9%
Rush Hour 3,Comedy,2007,Brett Ratner,"Jackie Chan, Chris Tucker, Max von Sydow","$258,097,122","$140,125,968",54.3%,"$117,971,154",45.7%
Rush Hour 3,Action,2007,Brett Ratner,"Jackie Chan, Chris Tucker, Max von Sydow","$258,097,122","$140,125,968",54.3%,"$117,971,154",45.7%
School Daze,Comedy,1988,Spike Lee,"Laurence Fishburne, Giancarlo Esposito, Tisha Campbell-Martin","$14,545,844","$14,545,844",100%,-,-
"See No Evil, Hear No Evil",Comedy,1989,Arthur Hiller,"Richard Pryor, Gene Wilder, Joan Severance","$46,908,987","$46,908,987",100%,-,-
"See No Evil, Hear No Evil",Action,1989,Arthur Hiller,"Richard Pryor, Gene Wilder, Joan Severance","$46,908,987","$46,908,987",100%,-,-
She Hate Me,Comedy,2004,Spike Lee,"Anthony Mackie, Kerry Washington, Ellen Barkin","$1,522,377","$366,037",24%,"$1,156,340",76%
She's Gotta Have It,Comedy,1986,Spike Lee,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell","$7,137,502","$7,137,502",100%,-,-
She's Gotta Have It,Romance,1986,Spike Lee,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell","$7,137,502","$7,137,502",100%,-,-
Some Kind of Hero,Comedy,1982,Michael Pressman,"Richard Pryor, Margot Kidder, Ray Sharkey","$23,671,186","$23,671,186",100%,-,-
Soul Food,Comedy,1997,George Tillman Jr.,"Vanessa Williams, Vivica A. Fox, Nia Long","$43,700,855","$43,700,855",100%,-,-
Soul Men,Comedy,2008,Malcolm D. Lee,"Samuel L. Jackson, Bernie Mac, Sharon Leal","$12,331,637","$12,082,391",98%,"$249,246",2%
Soul Plane,Comedy,2004, Jessy Terrero,"Dwayne Adway, Snoop Dogg, Tom Arnold","$14,821,824","$14,190,750",95.7%,"$631,074",4.3%
Sprung,Comedy,1997,Rusty Cundieff,"Tisha Campbell-Martin, Rusty Cundieff, Paula Jai Parker","$7,575,028","$7,575,028",100%,-,-
Stir Crazy,Comedy,1980,Sidney Poitier,"Gene Wilder, Richard Pryor, Georg Stanford Brown","$101,300,000","$101,300,000",100%,-,-
Strictly Business,Comedy,1991,Kevin Hooks,"Tommy Davidson, Joseph C. Phillips, Anne-Marie Johnson","$7,683,267","$7,683,267",100%,-,-
Strictly Business,Romance,1991,Kevin Hooks,"Tommy Davidson, Joseph C. Phillips, Anne-Marie Johnson","$7,683,267","$7,683,267",100%,-,-
Tap,Comedy,1989,Nick Castle,"Gregory Hines, Suzzanne Douglas, Sammy Davis Jr.","$9,114,702","$9,114,702",100%,-,-
The Associate,Comedy,1996,Donald Petrie,"Whoopi Goldberg, Dianne Wiest, Eli Wallach","$12,844,057","$12,844,057",100%,-,-
The Cookout,Comedy,2004,Lance Rivera,"Quran Pender, Jenifer Lewis, Ja Rule","$12,009,070","$11,814,019",98.4%,"$195,051",1.6%
The Distinguished Gentleman,Comedy,1992,Jonathan Lynn,"Eddie Murphy, Lane Smith, Sheryl Lee Ralph","$46,666,502","$46,666,502",100%,-,-
The Gods Must Be Crazy,Comedy,1980,Jamie Uys,"N!xau, Marius Weyers, Sandra Prinsloo","$30,031,783","$30,031,783",100%,-,-
The Gods Must Be Crazy,Action,1980,Jamie Uys,"N!xau, Marius Weyers, Sandra Prinsloo","$30,031,783","$30,031,783",100%,-,-
The Golden Child,Comedy,1986,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance","$79,817,937","$79,817,937",100%,-,-
The Golden Child,Action,1986,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance","$79,817,937","$79,817,937",100%,-,-
The Great White Hype,Comedy,1996,Reginald Hudlin,"Samuel L. Jackson, Jeff Goldblum, Damon Wayans","$8,008,255","$8,008,255",100%,-,-
The Inkwell,Comedy,1994,Matty Rich,"Larenz Tate, Joe Morton, Suzzanne Douglas","$8,880,705","$8,880,705",100%,-,-
The Inkwell,Romance,1994,Matty Rich,"Larenz Tate, Joe Morton, Suzzanne Douglas","$8,880,705","$8,880,705",100%,-,-
The Ladies Man,Comedy,2000,Reginald Hudlin,"Tim Meadows, Karyn Parsons, Billy Dee Williams","$13,743,212","$13,616,610",99.1%,"$126,602",0.9%
The Last Dragon,Comedy,1985,Michael Schultz,"Taimak, Vanity, Christopher Murney","$25,754,284","$25,754,284",100%,-,-
The Last Dragon,Action,1985,Michael Schultz,"Taimak, Vanity, Christopher Murney","$25,754,284","$25,754,284",100%,-,-
The Longshots,Comedy,2008,Fred Durst,"Ice Cube, Keke Palmer, Tasha Smith","$11,767,866","$11,537,046",98%,"$230,820",2%
The Players Club,Comedy,1998,Ice Cube,"LisaRaye, Dick Anthony Williams, Judyann Elder","$23,261,485","$23,047,939",99.1%,"$213,546",0.9%
The Toy,Comedy,1982,Richard Donner,"Richard Pryor, Jackie Gleason, Ned Beatty","$47,118,057","$47,118,057",100%,-,-
The Wash,Comedy,2001,DJ Pooh,"Dr. Dre, Snoop Dogg, Anthony Albano","$10,229,331","$10,097,538",98.7%,"$131,793",1.3%
The Wood,Comedy,1999,Rick Famuyiwa,"Elayn J. Taylor, Omar Epps, Richard T. Jones","$25,059,640","$25,059,640",100%,-,-
The Wood,Romance,1999,Rick Famuyiwa,"Elayn J. Taylor, Omar Epps, Richard T. Jones","$25,059,640","$25,059,640",100%,-,-
Think Like a Man,Comedy,2012,Tim Story,"Chris Brown, Gabrielle Union, Kevin Hart","$96,070,507","$91,547,205",95.3%,"$4,523,302",4.7%
Think Like a Man,Romance,2012,Tim Story,"Chris Brown, Gabrielle Union, Kevin Hart","$96,070,507","$91,547,205",95.3%,"$4,523,302",4.7%
This Christmas,Comedy,2007,Preston A. Whitmore II,"Regina King, Columbus Short, Delroy Lindo","$49,778,552","$49,121,934",98.7%,"$656,618",1.3%
This Christmas,Romance,2007,Preston A. Whitmore II,"Regina King, Columbus Short, Delroy Lindo","$49,778,552","$49,121,934",98.7%,"$656,618",1.3%
Trading Places,Comedy,1983,John Landis,"Eddie Murphy, Dan Aykroyd, Ralph Bellamy","$90,404,800","$90,404,800",100%,-,-
True Identity,Comedy,1991,Charles Lane,"Lenny Henry, Frank Langella, Charles Lane","$4,693,236","$4,693,236",100%,-,-
Under the Cherry Moon,Comedy,1986,Prince,"Prince, Jerome Benton, Kristin Scott Thomas","$10,090,429","$10,090,429",100%,-,-
Undercover Brother,Comedy,2002,Malcolm D. Lee,"Eddie Griffin, Denise Richards, Aunjanue Ellis","$41,604,473","$39,089,928",94%,"$2,514,545",6%
Undercover Brother,Action,2002,Malcolm D. Lee,"Eddie Griffin, Denise Richards, Aunjanue Ellis","$41,604,473","$39,089,928",94%,"$2,514,545",6%
Vampire in Brooklyn,Comedy,1995,Wes Craven,"Eddie Murphy, Angela Bassett, Allen Payne","$19,751,736","$19,751,736",100%,-,-
Vampire in Brooklyn,Romance,1995,Wes Craven,"Eddie Murphy, Angela Bassett, Allen Payne","$19,751,736","$19,751,736",100%,-,-
Why Did I Get Married Too?,Comedy,2010,Tyler Perry,"Janet Jackson, Tyler Perry, Jill Scott","$60,673,972","$60,095,852",99%,"$578,120",1%
Why Did I Get Married Too?,Romance,2010,Tyler Perry," Janet Jackson, Tyler Perry, Jill Scott","$60,673,972","$60,095,852",99%,"$578,120",1%
Woo,Comedy,1998,Daisy von Scherler Mayer,"Jada Pinkett Smith, Tommy Davidson, Duane Martin","$8,165,984","$8,064,972",98.8%,"$101,012",1.2%
Woo,Romance,1998,Daisy von Scherler Mayer,"Jada Pinkett Smith, Tommy Davidson, Duane Martin","$8,165,984","$8,064,972",98.8%,"$101,012",1.2%
You Got Served,Comedy,2004,Chris Stokes,"Omarion Grandberry, J-Boog, Raz B","$50,576,805","$40,363,810",79.8%,"$10,212,995",20.2%
Boss,Blaxploitation,1975,Jack Arnold,"Fred Williamson, D’Urville Martin, William Smith","$594,283",-,-,"$594,283",100%
Boss,Action,1975,Jack Arnold,"Fred Williamson, D’Urville Martin, William Smith","$594,283",-,-,"$594,283",100%
Detroit 9000,Blaxploitation,1973,Arthur Marks,"Hari Rhodes, Alex Rocco, Vonetta McGee","$3,179","$3,179",100%,-,-
Detroit 9000,Drama,1973,Arthur Marks,"Hari Rhodes, Alex Rocco, Vonetta McGee","$3,179","$3,179",100%,-,-
Detroit 9000,Action,1973,Arthur Marks,"Hari Rhodes, Alex Rocco, Vonetta McGee","$3,179","$3,179",100%,-,-
Slaughter,Blaxploitation,1972,Jack Starrett,"Jim Brown, Stella Stevens, Rip Torn","$48,968",-,-,"$48,968",100%
Slaughter,Action,1972,Jack Starrett,"Jim Brown, Stella Stevens, Rip Torn","$48,968",-,-,"$48,968",100%
An Officer and a Gentleman,Romance,1982,Taylor Hackford,"Richard Gere, Debra Winger, David Keith","$129,795,554","$129,795,554",100%,-,-
An Officer and a Gentleman,Drama,1982,Taylor Hackford,"Richard Gere, Debra Winger, David Keith","$129,795,554","$129,795,554",100%,-,-
Daddy's Little Girls,Romance,2007,Tyler Perry,"Gabrielle Union, Idris Elba, Tracee Ellis Ross","$31,609,243","$31,366,978",99.2%,"$242,265",0.8%
Daddy's Little Girls,Drama,2007,Tyler Perry,"Gabrielle Union, Idris Elba, Tracee Ellis Ross","$31,609,243","$31,366,978",99.2%,"$242,265",0.8%
Daughters of the Dust,Romance,1991,Julie Dash,"Cora Lee Day, Alva Rogers, Barbarao","$1,642,436","$1,642,436",100%,-,-
Daughters of the Dust,Drama,1991,Julie Dash,"Cora Lee Day, Alva Rogers, Barbarao","$1,642,436","$1,642,436",100%,-,-
Higher Learning,Romance,1995, John Singleton,"Omar Epps, Kristy Swanson, Michael Rapaport","$38,290,723","$38,290,723",100%,-,-
Higher Learning,Drama,1995,John Singleton,"Omar Epps, Kristy Swanson, Michael Rapaport","$38,290,723","$38,290,723",100%,-,-
How Stella Got Her Groove Back,Romance,1998,Kevin Rodney Sullivan,"Angela Bassett, Taye Diggs, Whoopi Goldberg","$39,278,722","$37,672,941",95.9%,"$1,605,781",4.1%
How Stella Got Her Groove Back,Drama,1998,Kevin Rodney Sullivan,"Angela Bassett, Taye Diggs, Whoopi Goldberg","$39,278,722","$37,672,941",95.9%,"$1,605,781",4.1%
Jungle Fever,Romance,1991,Spike Lee,"Wesley Snipes, Annabella Sciorra, Spike Lee","$32,482,682","$32,482,682",100%,-,-
Jungle Fever,Drama,1991,Spike Lee,"Wesley Snipes, Annabella Sciorra, Spike Lee","$32,482,682","$32,482,682",100%,-,-
Love Jones,Romance,1997,Theodore Witcher,"Larenz Tate, Nia Long, Isaiah Washington","$12,479,335","$12,479,335",100%,-,-
Love Jones,Drama,1997,Theodore Witcher,"Larenz Tate, Nia Long, Isaiah Washington","$12,479,335","$12,479,335",100%,-,-
Medicine for Melancholy,Romance,2008,Barry Jenkins,"Wyatt Cenac, Tracey Heggins, Elizabeth Acker","$111,551","$111,551",100%,-,-
Monster's Ball,Romance,2001,Marc Forster,"Billy Bob Thornton, Halle Berry, Taylor Simpson","$44,909,486","$31,273,922",69.6%,"$13,635,564",30.4%
Not Easily Broken,Romance,2009,Bill Duke,"Morris Chestnut, Taraji P. Henson, Maeve Quinlan","$10,726,909","$10,572,742",98.6%,"$154,167",1.4%
Nothing But a Man,Romance,1964,Michael Roemer,"Ivan Dixon, Abbey Lincoln, Julius Harris","$13,063","$13,063",100%,-,-
Poetic Justice,Romance,1993,John Singleton,"Janet Jackson, Tupac Shakur, Regina King","$27,515,786","$27,515,786",100%,-,-
Purple Rain,Romance,1984,Albert Magnoli,"Prince, Apollonia Kotero, Morris Day","$68,392,977","$68,392,977",100%,-,-
