Title,Genre,Year,Director,Stars,Worldwide,Domestic,%,Foreign,%.1
Good Burger,Family,1997,Brian Robbins,"Kel Mitchell, Kenan Thompson, Sinbad","$23,712,993","$23,712,993",100%,-,-
Good Burger,Comedy,1997,Brian Robbins,"Kel Mitchell, Kenan Thompson, Sinbad","$23,712,993","$23,712,993",100%,-,-
Imagine That,Family,2009,Karey Kirkpatrick,"Eddie Murphy, Thomas Haden Church, Yara Shahidi","$22,985,194","$16,123,323",70.1%,"$6,861,871",29.9%
Imagine That,Comedy,2009,Karey Kirkpatrick,"Eddie Murphy, Thomas Haden Church, Yara Shahidi","$22,985,194","$16,123,323",70.1%,"$6,861,871",29.9%
Imagine That,Drama,2009,Karey Kirkpatrick,"Eddie Murphy, Thomas Haden Church, Yara Shahidi","$22,985,194","$16,123,323",70.1%,"$6,861,871",29.9%
Kingdom Come,Family,2001,Doug McHenry,"LL Cool J, Jada Pinkett Smith, Vivica A. Fox","$23,396,049","$23,249,649",99.4%,"$146,400",0.6%
Kingdom Come,Comedy,2001,Doug McHenry,"LL Cool J, Jada Pinkett Smith, Vivica A. Fox","$23,396,049","$23,249,649",99.4%,"$146,400",0.6%
Kingdom Come,Drama,2001,Doug McHenry,"LL Cool J, Jada Pinkett Smith, Vivica A. Fox","$23,396,049","$23,249,649",99.4%,"$146,400",0.6%
Like Mike,Family,2002, John Schultz,"Bow Wow, Jonathan Lipnicki, Morris Chestnut","$62,274,780","$51,432,760",82.6%,"$10,842,020",17.4%
Like Mike,Comedy,2002,John Schultz,"Bow Wow, Jonathan Lipnicki, Morris Chestnut","$62,274,780","$51,432,760",82.6%,"$10,842,020",17.4%
Meet Dave,Family,2008,Brian Robbins,"Eddie Murphy, Elizabeth Banks, Gabrielle Union","$51,339,567","$11,803,254",23%,"$39,536,313",77%
Meet Dave,Comedy,2008,Brian Robbins,"Eddie Murphy, Elizabeth Banks, Gabrielle Union","$51,339,567","$11,803,254",23%,"$39,536,313",77%
Rebound,Family,2005,Steve Carr,"Martin Lawrence, Megan Mullally, Breckin Meyer","$17,492,014","$16,809,014",96.1%,"$683,000",3.9%
Rebound,Comedy,2005,Steve Carr,"Martin Lawrence, Megan Mullally, Breckin Meyer","$17,492,014","$16,809,014",96.1%,"$683,000",3.9%
Sister Act,Family,1992,Emile Ardolino,"Whoopi Goldberg, Maggie Smith, Kathy Najimy","$139,605,150","$139,605,150",100%,-,-
Sister Act,,1992,Emile Ardo ,,"$139,605,150","$139,605,150",100%,-,-
Sister Act,Comedy,1992,Emile Ardolino,"Whoopi Goldberg, Maggie Smith, Kathy Najimy","$139,605,150","$139,605,150",100%,-,-
Snow Dogs,Family,2002,Brian Levant,"Cuba Gooding Jr., James Coburn, Sisqó","$115,035,090","$81,172,560",70.6%,"$33,862,530",29.4%
Snow Dogs,Comedy,2002,Brian Levant,"Cuba Gooding Jr., James Coburn, Sisqó","$115,035,090","$81,172,560",70.6%,"$33,862,530",29.4%
Space Jam,Family,1996, Joe Pytka,"Michael Jordan, Wayne Knight, Theresa Randle","$90,418,342","$90,418,342",100%,-,-
Space Jam,Comedy,1996,Joe Pytka,"Michael Jordan, Wayne Knight, Theresa Randle","$90,418,342","$90,418,342",100%,-,-
The Fighting Temptations,Family,2003,Jonathan Lynn,"Cuba Gooding Jr., Beyoncé Knowles, Mike Epps","$33,972,062","$30,250,745",89%,"$3,721,317",11%
The Fighting Temptations,Comedy,2003,Jonathan Lynn,"Cuba Gooding Jr., Beyoncé Knowles, Mike Epps","$33,972,062","$30,250,745",89%,"$3,721,317",11%
The Meteor Man,Family,1993,Robert Townsend,"Robert Townsend, Marla Gibbs, Eddie Griffin","$8,016,708","$8,016,708",100%,-,-
The Meteor Man,Comedy,1993,Robert Townsend,"Robert Townsend, Marla Gibbs, Eddie Griffin","$8,016,708","$8,016,708",100%,-,-
The Princess and the Frog,Family,2009,"Ron Clements, John Musker","Anika Noni Rose, Keith David, Oprah Winfrey","$267,045,765","$104,400,899",39.1%,"$162,644,866",60.9%
The Pursuit of Happyness,Family,2006,Gabriele Muccino,"Will Smith, Thandie Newton, Jaden Smith","$307,127,625","$163,566,459",53.3%,"$143,561,166",46.7%
The Wiz,Family,1978,Sidney Lumet,"Diana Ross, Michael Jackson, Nipsey Russell","$21,049,053","$21,049,053",100%,-,-
Beverly Hills Cop,,1984,Martin Brest,,"$234,760,478","$234,760,478",100%,-,-
Beverly Hills Cop,Comedy,1984,Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton","$234,760,478","$234,760,478",100%,-,-
Beverly Hills Cop,Action,1984,Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton","$234,760,478","$234,760,478",100%,-,-
The Color Purple,,1985,Steven Spielberg,Whoopi Goldberg,"$94,175,854","$94,175,854",100%,-,-
The Color Purple,,1985,Steven Spielberg,,"$94,175,854","$94,175,854",100%,-,-
Boyz n the Hood,,1991,John Singleton,"Cuba Gooding, Jr. & Ice Cube","$57,504,069","$57,504,069",100%,-,-
A Rage in Harlem,,1991,Bill Duke,Forest Whitaker,"$10,438,504","$10,438,504",100%,-,-
The Bodyguard,,1992,Mick Jackson,,"$121,945,720","$121,945,720",100%,-,-
The Bodyguard,Romance,1992,Mick Jackson,"Kevin Costner, Whitney Houston, Gary Kemp","$121,945,720","$121,945,720",100%,-,-
The Pelican Brief,,1993,Alan J Pakula,,"$100,768,056","$100,768,056",100%,-,-
Above the Rim,,1994,Jeff Pollack,Duane Martin,"$16,192,320","$16,192,320",100%,-,-
Above the Rim,Drama,1994, Jeff Pollack,"Duane Martin, Tupac Shakur, Leon","$16,192,320","$16,192,320",100%,-,-
A Low Down Dirty Shame,,1994,Keenen Ivory Wayans,Keenen Ivory Wayans,"$29,392,418","$29,392,418",100%,-,-
A Low Down Dirty Shame,Comedy,1994,Keenen Ivory Wayans,"Keenen Ivory Wayans, Charles S. Dutton, Jada Pinkett Smith","$29,392,418","$29,392,418",100%,-,-
A Low Down Dirty Shame,Action,1994,Keenen Ivory Wayans,"Keenen Ivory Wayans, Charles S. Dutton, Jada Pinkett Smith","$29,392,418","$29,392,418",100%,-,-
Waiting to Exhale,,1995,Forest Whitaker,"Angela Bassett, Whitney Houston, Lela Rochon, Loretta Devine","$67,052,156","$67,052,156",100%,-,-
Waiting to Exhale,Comedy,1995,Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine","$67,052,156","$67,052,156",100%,-,-
Waiting to Exhale,Romance,1995,Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine","$67,052,156","$67,052,156",100%,-,-
The Nutty Professor,,1996,Tom Shadyac,,"$128,814,019","$128,814,019",100%,-,-
The Nutty Professor,Comedy,1996,Tom Shadyac,"Eddie Murphy, Jada Pinkett Smith, James Coburn","$128,814,019","$128,814,019",100%,-,-
The Nutty Professor,Romance,1996,Tom Shadyac,"Eddie Murphy, Jada Pinkett Smith, James Coburn","$128,814,019","$128,814,019",100%,-,-
Blade,,1998,Stephen Norrington,,"$131,183,530","$70,087,718",53.4%,"$61,095,812",46.6%
Blade,Action,1998,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson","$131,183,530","$70,087,718",53.4%,"$61,095,812",46.6%
Blue Streak,,1999,Les Mayfield,,"$117,758,500","$68,518,533",58.2%,"$49,239,967",41.8%
Blue Streak,Comedy,1999,Les Mayfield,"Martin Lawrence, Luke Wilson, Peter Greene","$117,758,500","$68,518,533",58.2%,"$49,239,967",41.8%
Blue Streak,Action,1999,Les Mayfield," Martin Lawrence, Luke Wilson, Peter Greene","$117,758,500","$68,518,533",58.2%,"$49,239,967",41.8%
The Bone Collector,,1999,Phillip Noyce,,"$151,493,655","$66,518,655",43.9%,"$84,975,000",56.1%
Bamboozled,,2000,Spike Lee,Damon Wayans,"$2,463,650","$2,274,979",92.3%,"$188,671",7.7%
Bamboozled,Comedy,2000,Spike Lee,"Damon Wayans, Savion Glover, Jada Pinkett Smith","$2,463,650","$2,274,979",92.3%,"$188,671",7.7%
Bamboozled,Drama,2000,Spike Lee,"Damon Wayans, Savion Glover, Jada Pinkett Smith","$2,463,650","$2,274,979",92.3%,"$188,671",7.7%
