Director,Title,Year,Budget,Worldwide,Studio,Genre,Domestic,Foreign,Domestic %,Foreign%,Stars
Kasi Lemmons,Black Nativity,2013,"$17,500,000","$7,454,185",Fox Searchlight Pictures,Family,"$7,018,189","$435,996",94.20%,6%,"Forest Whitaker, Angela Bassett, Jennifer Hudson, Mary J. Blige"
Tyler Perry,Madea Goes to Jail,2009,"$17,500,000","$90,508,336",Lionsgate,Comedy,"$90,508,336",$0,100%,0%,"Tyler Perry, Keshia Knight Pulliam, Derek Luke"
Tyler Perry,Madea Goes to Jail,2009,"$17,500,000","$90,508,336",Lionsgate,Drama,"$90,508,336",$0,100%,0%,"Tyler Perry, Keshia Knight Pulliam, Derek Luke"
Antoine Fuqua,Brooklyn's Finest,2010,"$17,000,000","$45,719,985",Overture Films,Action,"$27,163,593","$18,556,392",74.50%,26%,"Don Cheadle, Wesley Snipes, Richard Gere, Ethan Hawke"
David E. Talbert,Almost Christmas,2016,"$17,000,000","$42,580,920",Universal Pictures,Comedy,"$42,158,780","$422,140",99%,1%,Monique
Erik White,Lottery Ticket,2010,"$17,000,000","$24,719,879",Warner Bros,Comedy,"$24,719,879",$0,100%,0%,"Bow Wow, Brandon T. Jackson, Naturi Naughton"
Kasi Lemmons,Harriet,2019,"$17,000,000","$43,347,017",Focus Features,Drama,"$43,082,155","$264,862",99.40%,1%,"Cynthia Erivo, Janelle Monáe, Leslie Odom Jr. "
Ernest R. Dickerson,Bones,2001,"$16,000,000","$8,378,853",New Line Cinema,Horror,"$7,316,658","$1,062,195",87.30%,13%,"Snoop Dogg, Pam Grier, Michael T. Weiss"
Jessy Terrero,Soul Plane,2004,"$16,000,000","$14,821,824",MGM,Comedy,"$14,190,750","$631,074",95.70%,4%,"Dwayne Adway, Snoop Dogg, Tom Arnold"
John Singleton,Baby Boy,2001,"$16,000,000","$29,381,649",Sony Pictures Entertainment,Comedy,"$28,734,552","$647,097",97.80%,2%,"AlexSandra Wright, Tyrese Gibson, Taraji P. Henson"
John Singleton,Baby Boy,2001,"$16,000,000","$29,381,649",Sony Pictures Entertainment,Drama,"$28,734,552","$647,097",97.80%,2%,"AlexSandra Wright, Tyrese Gibson, Taraji P. Henson"
Stella Meghie,The Photograph,2020,"$16,000,000","$20,690,779",Universal Pictures,Romance,"$20,578,185","$112,594",99.50%,1%,"Issa Rae, Lakeith Stanfield"
Stella Meghie,The Photograph,2020,"$16,000,000","$20,690,779",Universal Pictures,Romance,"$20,578,185","$112,594",99.50%,1%,"Issa Rae, Lakeith Stanfield"
Kevin Bray,All About the Benjamins,2002,"$15,000,000","$26,306,533",New Line Cinema,Action,"$25,916,319","$390,214",98.50%,2%,"Ice Cube, Mike Epps, Tommy Flanagan"
Kevin Bray,All About the Benjamins,2002,"$15,000,000","$26,306,533",New Line Cinema,Comedy,"$25,916,319","$390,214",98.50%,2%,"Ice Cube, Mike Epps, Tommy Flanagan"
Mira Nair,Queen of Katwe,2016,"$15,000,000","$10,367,161",Walt Disney Motion Pictures,Drama,"$8,874,389","$1,492,772",85.60%,14%,Lupita Nyongo
Peter Atencio,Keanu,2016,"$15,000,000","$20,651,333",Warner Bros,Comedy,"$20,591,853","$59,480",99.70%,0%,"Keegan-Michael Key, Jordan Reele, TiffanyHaddish, Method Man"
Spike Lee,BlacKkKlansman,2018,"$15,000,000","$93,400,823",Focus Features,Action,"$49,275,340","$44,125,483",52.80%,47%,"John David Washington, Adam Driver, Laura Harrier, Topher Grace"
Spike Lee,BlacKkKlansman,2018,"$15,000,000","$93,400,823",Focus Features,Drama,"$49,275,340","$44,125,483",52.80%,47%,"John David Washington, Adam Driver, Laura Harrier, Topher Grace"
Steven Spielberg,The Color Purple,1985,15000000,"$98,467,863",,Drama,"$98,467,863",-,100%,-,"Whoopi Goldberg, Oprah Winfrey, Danny Glover"
Tina Gordon,Peeples,2013,"$15,000,000","$9,307,166",Lionsgate,Comedy,"$9,177,065","$130,101",98.60%,1%," Craig Robinson, Kerry Washington, David Alan Grier"
Tyler Perry,Good Deeds,2012,"$14,000,000","$35,579,177",Lionsgate,Comedy,"$35,025,791","$553,386",98.40%,2%,"Tyler Perry, Gabrielle Union, Thandie Newton"
Tyler Perry,Good Deeds,2012,"$14,000,000","$35,579,177",Lionsgate,Drama,"$35,025,791","$553,386",98.40%,2%,"Tyler Perry, Gabrielle Union, Thandie Newton"
Tyler Perry,Good Deeds,2012,"$14,000,000","$35,579,177",Lionsgate,Romance,"$35,025,791","$553,386",98.40%,2%,"Tyler Perry, Gabrielle Union, Thandie Newton"
Babak Najafi,Proud Mary,2018,"$14,000,000","$21,753,365",Screen Gems,Action,"$20,877,013","$876,352",96%,4%,"Taraki P.Henson, Billy Brown, Jahi Di'Allo Winston"
Spike Lee,Crooklyn,1994,"$14,000,000","$13,642,861",Universal Pictures,Comedy,"$13,642,861",-,100%,0%,"Alfre Woodard, Delroy Lindo, David Patrick Kelly"
Spike Lee,Jungle Fever,1991,"$14,000,000","$43,882,682",,Drama,"$32,482,682","$11,400,000",74%,26%,"Wesley Snipes, Annabella Sciorra, Spike Lee"
Spike Lee,Crooklyn,1994,"$14,000,000","$13,642,861",Universal Pictures,Drama,"$13,642,861",-,100%,0%,"Alfre Woodard, Delroy Lindo, David Patrick Kelly"
Spike Lee,Jungle Fever,1991,"$14,000,000","$43,882,682",,Romance,"$32,482,682","$11,400,000",74%,26%,"Wesley Snipes, Annabella Sciorra, Spike Lee"
Craig Bolotin,Light It Up,1999,"$13,000,000","$5,985,690",Twentieth Century Fox,Drama,"$5,985,690",$0,100%,0%,"Usher Raymond, Forest Whitaker, Rosario Dawson"
Preston A. Whitmore II,This Christmas,2007,"$13,000,000","$49,778,552",Screen Gems,Comedy,"$49,121,934","$656,618",98.70%,1%,"Regina King, Columbus Short, Delroy Lindo"
Preston A. Whitmore II,This Christmas,2007,"$13,000,000","$49,778,552",Screen Gems,Romance,"$49,121,934","$656,618",98.70%,1%,"Regina King, Columbus Short, Delroy Lindo"
Robert Adetuyi,Turn It Up,2000,"$13,000,000","$1,247,949",New Line Cinema,Action,"$1,247,949",$0,100%,0%,"Pras, Ja Rule, Jason Statham"
Sylvain White,Stomp the Yard,2007,"$13,000,000","$75,511,123",Screen Gems,Romance,"$61,356,221","$14,154,902",81.30%,19%,"Columbus Short, Meagan Good, Ne-Yo"
Denzel Washington,Antwone Fisher,2002,"$12,500,000","$23,367,586",Fox Searchlight Pictures,Drama,"$21,078,145","$2,289,441",90.20%,10%,"Denzel Washington, Derek Luke, Joy Bryant"
Denzel Washington,Antwone Fisher,2002,"$12,500,000","$23,367,586",Fox Searchlight Pictures,Romance,"$21,078,145","$2,289,441",90.20%,10%,"Denzel Washington, Derek Luke, Joy Bryant"
Christopher Erskin,Johnson Family Vacation,2004,"$12,000,000","$31,326,183",Fox Searchlight Pictures,Comedy,"$31,203,964","$122,219",99.60%,0%,"Cedric the Entertainer, Shannon Elizabeth, Bow Wow"
Darnell Martin,Cadillac Records,2008,"$12,000,000","$8,883,644",Sony Pictures Entertainment,Drama,"$8,195,551","$688,093",92.30%,8%,"Beyonceknowles, Eamonn Walker, Mos Def, Jeffrey Wright, Adrien Brody"
David Rosenthal,The Perfect Guy,2015,"$12,000,000","$60,273,173",Screen Gems,Action,"$57,027,435","$3,245,738",94.60%,5%,"Sanaa Latham, Michael Ealy, Morris Chesnut"
Deon Taylor,Black and Blue,2019,"$12,000,000","$22,741,061",Screen Gems,Action,"$22,055,313","$685,748",97%,3%,"Naomie Harris, Tyrese Gibson, Frank Grillo"
Reginald Hudlin,Marshall,2017,"$12,000,000","$10,116,816",Open Road Films,Drama,"$10,051,659","$65,157",99.40%,1%,Chadwick Boseman
Spike Lee,Girl 6,1996,"$12,000,000","$4,939,939",Fox Searchlight Pictures,Comedy,"$4,939,939",$0,100%,0%,"Theresa Randle, Isaiah Washington, Spike Lee"
Spike Lee,Girl 6,1996,"$12,000,000","$4,939,939",Fox Searchlight Pictures,Drama,"$4,939,939",$0,100%,0%,"Theresa Randle, Isaiah Washington, Spike Lee"
Tim Story,Barbershop,2002,"$12,000,000","$77,063,924",MGM,Comedy,"$75,782,105","$1,281,819",98.30%,2%,"Ice Cube, Cedric the Entertainer, Eve"
Tim Story,Barbershop,2002,"$12,000,000","$77,063,924",MGM,Drama,"$75,782,105","$1,281,819",98.30%,2%,"Ice Cube, Cedric the Entertainer, Eve"
Tim Story,Think Like a Man,2012,"$12,000,000","$96,070,507",Universal Pictures,Romance,"$91,547,205","$4,523,302",95.30%,5%,"Chris Brown, Gabrielle Union, Kevin Hart"
Chris Rock,I Think I Love My Wife,2007,"$11,000,000","$13,369,768",Fox Searchlight Pictures,Comedy,"$12,550,605","$819,163",93.90%,6%,"Chris Rock, Kerry Washington, Gina Torres"
Chris Rock,I Think I Love My Wife,2007,"$11,000,000","$13,369,768",Fox Searchlight Pictures,Drama,"$12,550,605","$819,163",93.90%,6%,"Chris Rock, Kerry Washington, Gina Torres"
Chris Rock,I Think I Love My Wife,2007,"$11,000,000","$13,369,768",Fox Searchlight Pictures,Romance,"$12,550,605","$819,163",93.90%,6%,"Chris Rock, Kerry Washington, Gina Torres"
Gina Prince-Bythewood,The Secret Life of Bees,2008,"$11,000,000","$39,952,437",Fox Searchlight Pictures,Drama,"$37,770,162","$2,182,275",94.50%,6%,"Dakota Fanning, Queen Latifah, Alicia Keys, Jennifer Hudson"
Steve Carr,Next Friday,2000,"$11,000,000","$59,827,328",New Line Cinema,Comedy,"$57,328,603","$2,498,725",95.80%,4%,"Ice Cube, Mike Epps, Justin Pierce"
Tyler Perry,Daddy's Little Girls,2007,"$10,000,000","$31,609,243",Lionsgate,Drama,"$31,366,978","$242,265",99.20%,1%,"Gabrielle Union, Idris Elba, Tracee Ellis Ross"
Tyler Perry,Daddy's Little Girls,2007,"$10,000,000","$31,609,243",Lionsgate,Romance,"$31,366,978","$242,265",99.20%,1%,"Gabrielle Union, Idris Elba, Tracee Ellis Ross"
Daniel Taplitz,Breakin' All the Rules,2004,"$10,000,000","$12,544,254",Screen Gems,Comedy,"$12,264,319","$279,935",97.80%,2%,"Jamie Foxx, Gabrielle Union, Morris Chestnut"
Daniel Taplitz,Breakin' All the Rules,2004,"$10,000,000","$12,544,254",Screen Gems,Romance,"$12,264,319","$279,935",97.80%,2%,"Jamie Foxx, Gabrielle Union, Morris Chestnut"
Jeb Stuart,Blood Done Sign My Name,2010,"$10,000,000","$109,383",Paladin,Drama,"$109,383",$0,100%,0%,"Michael Rooker, Ricky Schroder, Nick Searcy"
John Gassar,When the Bough Breaks,2016,"$10,000,000","$30,658,387",Screen Gems,Action,"$29,747,603","$910,784",97%,3%,"Morris Chesnut, Regina Hall, Jaz Sinclair"
Keenen Ivory Wayans,A Low Down Dirty Shame,1994,"$10,000,000","$29,392,418",Walt Disney Motion Pictures,Action,"$29,392,418",-,100%,0%,"Keenen Ivory Wayans, Charles S. Dutton, Jada Pinkett Smith"
Keenen Ivory Wayans,A Low Down Dirty Shame,1994,"$10,000,000","$29,392,418",Walt Disney Motion Pictures,Comedy,"$29,392,418",-,100%,0%,"Keenen Ivory Wayans, Charles S. Dutton, Jada Pinkett Smith"
Lee Daniels,Precious,2009,"$10,000,000","$63,649,529",Lionsgate,Drama,"$47,566,524","$16,083,005",74.70%,25%,"Gabourey Sidibe, Mo'Nique, Paula Patton, Mariah Carey"
Malcolm D. Lee,Roll Bounce,2005,"$10,000,000","$17,500,866",Fox Searchlight Pictures,Comedy,"$17,380,866","$120,000",99.30%,1%,"Bow Wow, Nick Cannon, Meagan Good"
Michael Schultz,The Last Dragon,1985,"$10,000,000","$25,754,284",,Action,"$25,754,284",-,100%,-,"Taimak, Vanity, Christopher Murney"
Michael Schultz,The Last Dragon,1985,"$10,000,000","$25,754,284",,Comedy,"$25,754,284",-,100%,-,"Taimak, Vanity, Christopher Murney"
Robin Bissell,The Best of Enemies,2019,"$10,000,000","$10,209,813",STX Entertainment,Drama,"$10,205,616","$4,197",100%,0%,"Taraji P. Henson, Sam Rockwell, Babou Ceesay"
Spike Lee,Bamboozled,2000,"$10,000,000","$2,463,650",New Line Cinema,Comedy,"$2,274,979","$188,671",92.30%,8%,"Damon Wayans, Savion Glover, Jada Pinkett Smith"
Spike Lee,Mo' Better Blues,1990,"$10,000,000","$16,153,593",Universal Pictures,Drama,"$16,153,593",-,100%,-,Denzel Washington
Spike Lee,Bamboozled,2000,"$10,000,000","$2,463,650",New Line Cinema,Drama,"$2,274,979","$188,671",92.30%,8%,"Damon Wayans, Savion Glover, Jada Pinkett Smith"
Tyler Perry,The Family That Preys,2008,"$10,000,000","$37,105,289",Lionsgate,Drama,"$37,105,289",$0,100%,0%,"Alfre Woodard, Sanaa Lathan, Rockmond Dunbar, KaDee Strickland, Cole Hauser"
F. Gary Gray,Set It Off,1996,"$9,000,000","$41,590,886",New Line Cinema,Action,"$36,461,139","$5,129,747",88%,12%,"Jada Pinkett Smith, Queen Latifah, Vivica A. Fox"
Nate Parker,The Birth of a Nation,2016,"$8,500,000","$16,779,212",Fox Searchlight Pictures,Drama,"$15,861,566","$917,646",94.50%,6%,"Nate Parker, Armie Hammer, Penelope Ann Miller, Jackie Earle Haley"
Doug Atchison,Akeelah and the Bee,2006,"$8,000,001","$18,948,425",Lionsgate,Drama,"$18,848,430","$99,995",99.50%,1%,"Angela Bassett, Laurence Fishburne, Keke Palmer"
Bill Duke,Deep Cover,1992,"$8,000,000","$16,639,799",,Action,"$16,639,799",-,100%,-,"Laurence Fishburne, Jeff Goldblum, Lira Angel"
Bill Duke,A Rage in Harlem,1991,"$8,000,000","$10,438,504",,Comedy,"$10,438,504",-,100%,-,Forest Whitaker
Chris Stokes,You Got Served,2004,"$8,000,000","$50,576,805",Screen Gems,Comedy,"$40,363,810","$10,212,995",79.80%,20%,"Omarion Grandberry, J-Boog, Raz B"
Doug Atchison,Akeelah and the Bee,2006,"$8,000,000","$18,948,425",Lionsgate,Family,"$18,848,430","$99,995",99.50%,1%,"Angela Bassett, Laurence Fishburne, Keke Palmer"
Spike Lee,She Hate Me,2004,"$8,000,000","$1,526,951",Sony Pictures Entertainment,Comedy,"$366,037","$1,160,914",24%,76%,"Anthony Mackie, Kerry Washington, Ellen Barkin"
George Tillman Jr.,Soul Food,1997,"$7,500,000","$43,700,855",Twentieth Century Fox,Comedy,"$43,700,855",$0,100%,0%,"Vanessa Williams, Vivica A. Fox, Nia Long"
George Tillman Jr.,Soul Food,1997,"$7,500,000","$43,700,855",Twentieth Century Fox,Drama,"$43,700,855",$0,100%,0%,"Vanessa Williams, Vivica A. Fox, Nia Long"
DJ Pooh,The Wash,2001,"$7,000,000","$10,229,331",Lionsgate,Comedy,"$10,097,538","$131,793",98.70%,1%,"Dr. Dre, Snoop Dogg, Anthony Albano"
Doug McHenry,Kingdom Come,2001,"$7,000,000","$23,396,049",Lionsgate,Comedy,"$23,249,649","$146,400",99.40%,1%,"LL Cool J, Jada Pinkett Smith, Vivica A. Fox"
Doug McHenry,Kingdom Come,2001,"$7,000,000","$23,396,049",Lionsgate,Drama,"$23,249,649","$146,400",99.40%,1%,"LL Cool J, Jada Pinkett Smith, Vivica A. Fox"
Doug McHenry,Kingdom Come,2001,"$7,000,000","$23,396,049",Lionsgate,Family,"$23,249,649","$146,400",99.40%,1%,"LL Cool J, Jada Pinkett Smith, Vivica A. Fox"
Louis C.K.,Pootie Tang,2001,"$7,000,000","$3,313,583",Paramount Pictures,Comedy,"$3,313,583",$0,100%,0%,"Chris Rock, Lance Crouther, J.B. Smoove"
Rick Famuyiwa,Dope,2015,"$7,000,000","$17,986,781",Open Road Films,Drama,"$17,506,470","$480,311",97.30%,3%,
Salim Akil,Jumping the Broom,2011,"$6,600,000","$38,158,601",TriStar Pictures,Comedy,"$37,295,394","$863,207",97.70%,2%,"Paula Patton, Laz Alonso, Angela Bassett"
Salim Akil,Jumping the Broom,2011,"$6,600,000","$38,158,601",TriStar Pictures,Drama,"$37,295,394","$863,207",97.70%,2%,"Paula Patton, Laz Alonso, Angela Bassett"
Spike Lee,School Daze,1988,"$6,500,000","$14,545,844",,Comedy,"$14,545,844",-,100%,-,"Laurence Fishburne, Giancarlo Esposito, Tisha Campbell-Martin"
Spike Lee,Do the Right Thing,1989,"$6,500,000","$37,295,445",,Drama,"$27,545,445","$9,750,000",74%,26%,"Danny Aiello, Ossie Davis, Ruby Dee"
Gary Hardwick,The Brothers,2001,"$6,000,000","$27,958,191",Screen Gems,Comedy,"$27,457,409","$500,782",98.20%,2%,"Morris Chestnut, Shemar Moore, D.L. Hughley"
Michael Schultz,Carbon Copy,1981,"$6,000,000","$9,566,593",,Comedy,"$9,566,593",-,100%,-,"George Segal, Susan Saint James, Jack Warden"
Rick Famuyiwa,The Wood,1999,"$6,000,000","$25,059,640",Paramount Pictures,Comedy,"$25,059,640",$0,100%,0%,"Elayn J. Taylor, Omar Epps, Richard T. Jones"
Rick Famuyiwa,The Wood,1999,"$6,000,000","$25,059,640",Paramount Pictures,Romance,"$25,059,640",$0,100%,0%,"Elayn J. Taylor, Omar Epps, Richard T. Jones"
Steve Carr,Daddy Day Care,2003,"$6,000,000","$164,433,867",Revolution Studios,Comedy,"$104,297,061",,63.40%,37%,"Eddie Murphy, Jeff Garlin, Anjelica, Huston, Steve Zahn"
Tyler Perry,Madea's Family Reunion,2006,"$6,000,000","$63,368,939",Lionsgate,Comedy,"$63,318,000","$50,939",99.90%,0%,"Tyler Perry, Blair Underwood, Lynn Whitfield"
Tyler Perry,Madea's Family Reunion,2006,"$6,000,000","$63,368,939",Lionsgate,Romance,"$63,318,000","$50,939",99.90%,0%,"Tyler Perry, Blair Underwood, Lynn Whitfield"
Preston A. Whitmore II,Crossover,2006,"$5,800,000","$7,009,668",Sony Pictures Entertainment,Action,"$7,009,668",$0,100%,0%,"Anthony Mackie, Wesley Jonathan, Wayne Brady"
Darren Grant,Diary of a Mad Black Woman,2005,"$5,500,000","$50,652,203",Lionsgate,Comedy,"$50,633,099","$19,104",100%,0%,"Kimberly Elise, Steve Harris, Tyler Perry"
Darren Grant,Diary of a Mad Black Woman,2005,"$5,500,000","$50,652,203",Lionsgate,Drama,"$50,633,099","$19,104",100%,0%,"Kimberly Elise, Steve Harris, Tyler Perry"
Darren Grant,Diary of a Mad Black Woman,2005,"$5,500,000","$50,652,203",Lionsgate,Romance,"$50,633,099","$19,104",100%,0%,"Kimberly Elise, Steve Harris, Tyler Perry"
Bill Duke,Not Easily Broken,2009,"$5,000,000","$10,726,909",Screen Gems,Romance,"$10,572,742","$154,167",98.60%,1%,"Morris Chestnut, Taraji P. Henson, Maeve Quinlan"
Michael Schultz,Disorderlies,1987,"$5,000,000","$10,348,437",,Comedy,"$10,348,437",-,100%,-,"Darren Robinson, Damon Wimbley, Mark Morales"
Jordan Peele,Get Out,2017,"$4,500,000","$255,407,969",,Horror,"$176,040,665","$79,367,304",68.90%,31%,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener"
Marc Forster,Monster's Ball,2001,"$4,000,000","$45,011,434",Lionsgate,Romance,"$31,273,922","$13,737,512",69.60%,30%,"Billy Bob Thornton, Halle Berry, Taylor Simpson"
Bill Duke,Cover,2007,"$3,600,000","$79,436",Reel Diva Consultants,Drama,"$79,436",$0,100%,0%,"Aunjanue Ellis, Razaaq Adoti, Vivica A. Fox"
Keenen Ivory Wayans,I'm Gonna Git You Sucka,1988,"$3,000,000","$13,030,057",,Action,"$13,030,057",-,100%,-,"Keenen Ivory Wayans, Bernie Casey, Antonio Fargas"
Keenen Ivory Wayans,I'm Gonna Git You Sucka,1988,"$3,000,000","$13,030,057",,Comedy,"$13,030,057",-,100%,-,"Keenen Ivory Wayans, Bernie Casey, Antonio Fargas"
Michael Schultz,Krush Groove,1985,"$3,000,000","$11,052,713",,Comedy,"$11,052,713",-,100%,-,"Sheila E., Joseph Simmons, Darryl McDaniels"
Michael Schultz,Krush Groove,1985,"$3,000,000","$11,052,713",,Drama,"$11,052,713",-,100%,-,"Sheila E., Joseph Simmons, Darryl McDaniels"
Nnegest Likk√©,Phat Girlz,2006,"$3,000,000","$7,403,491",Fox Searchlight Pictures,Comedy,"$7,061,128","$342,363",95.40%,5%,"Mo‚ÄôNique, Kendra C. Johnson, Jimmy Jean-Louis"
Craig Brewer,Hustle & Flow,2005,"$2,800,000","$23,563,727",Paramount Pictures,Drama,"$22,202,809","$1,360,918",94.20%,6%,"Terrence Howard, Ludacris, Anthony Anderson"
Spike Lee,Get on the Bus,1996,"$2,400,000","$5,754,249",Sony Pictures Entertainment,Drama,"$5,754,249",$0,100%,0%,"Ossie Davis, Charles S. Dutton, Andre Braugher"
J.D.Dillard,Sleight,2017,"$250,000","$3,989,705",BH Tilt,Drama,"$3,986,245","$3,460",99.90%,0%,"Jacob Latimore, Seychelle Gabriel, Storm Reid, Donzaleigh Abernathy"
Ava DuVernay,Middle of Nowhere,2012,"$200,000","$236,806",AFFRM,Drama,"$236,806",$0,100%,0%," Emayatzy Corinealdi, David Oyelowo, Lorraine Toussaint "
Spike Lee,She's Gotta Have It,1986,"$175,000","$7,137,502",,Comedy,"$7,137,502",-,100%,-,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell"
Spike Lee,She's Gotta Have It,1986,"$175,000","$7,137,502",,Romance,"$7,137,502",-,100%,-,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell"
Adam Leon,Gimme the Loot,2012,,"$116,783",IFC Films,Drama,"$104,442","$12,341",89.40%,11%,"Ty hickson, Tashiana Washington, Joshua Rivera"
Alan J Pakula,The Pelican Brief,1993,,"$195,268,056",,Drama,"$100,768,056","$94,500,000",52%,48%,"Julia Roberts, Denzel Washington"
Alan Metter,Moving,1988,,"$10,815,378",,Comedy,"$10,815,378",-,100%,-,"Richard Pryor, Beverly Todd, Stacey Dash"
"Albert Hughes, Allen Hughes",Menace II Society,1993,,"$27,912,072",,Action,"$27,912,072",-,100%,0%,"Larenz Tate, Tyrin Turner, Charles S. Dutton"
"Albert Hughes, Allen Hughes",Dead Presidents,1995,,"$24,147,179",Walt Disney Motion Pictures,Drama,"$24,147,179",$0,100%,0%,"Larenz Tate, Keith David, Chris Tucker"
Albert Magnoli,Purple Rain,1984,,"$68,392,977",,Romance,"$68,392,977",-,100%,-,"Prince, Apollonia Kotero, Morris Day"
Alexandra Moors,Blue Caprice,2013,,"$93,995",IFC Films,Drama,"$93,995",$0,100%,0%,
Amma Asante,Belle,2014,,"$16,607,575",Fox Searchlight Pictures,Drama,"$10,726,630","$5,880,945",64.60%,35%,"Gugu Mbatha-Raw, Matthew Goode"
Amman Abasi,Dayveon,2017,,"$2,077",FilmRise,Drama,"$2,077",$0,100%,0%,
Andrew Bujaski,Support the Girls,2018,,,,Comedy,,,,,"Regina Hall, Haley Lu Richardson, Shayna McHayle, Brooklyn Decker"
Andrew Bujaski,Support the Girls,2018,,,,Drama,,,,,"Regina Hall, Haley Lu Richardson, Shayna McHayle, Brooklyn Decker"
Andrew P. Jones,Kings of the Evening,2008,,"$99,270",Indican Pictures,Drama,"$99,270",$0,100%,0%,"Tyson Beckford, Lynn Whitfield, Glynn Turman"
Anthony Drazan,Zebrahead,1992,,"$1,557,771",,Romance,"$1,557,771",-,100%,0%,"Michael Rapaport, DeShonn Castle, Kevin Corrigan"
Antoine Fuqua,Training Day,2001,,"$104,876,233",Warner Bros,Drama,"$76,631,907","$28,244,326",73.10%,27%,"DenzelWashington, Ethan Hawke, Scott Glen"
Arthur Hiller,"See No Evil, Hear No Evil",1989,,"$46,908,987",,Action,"$46,908,987",-,100%,-,"Richard Pryor, Gene Wilder, Joan Severance"
Arthur Hiller,"See No Evil, Hear No Evil",1989,,"$46,908,987",,Comedy,"$46,908,987",-,100%,-,"Richard Pryor, Gene Wilder, Joan Severance"
Arthur Marks,Detroit 9000,1973,,"$3,179",,Action,"$3,179",-,100%,-,"Hari Rhodes, Alex Rocco, Vonetta McGee"
Arthur Marks,Detroit 9000,1973,,"$3,179",,Blaxploitation,"$3,179",-,100%,-,"Hari Rhodes, Alex Rocco, Vonetta McGee"
Arthur Marks,Detroit 9000,1973,,"$3,179",,Drama,"$3,179",-,100%,-,"Hari Rhodes, Alex Rocco, Vonetta McGee"
Ava DuVernay,I Will Follow,2010,,"$135,809",AFFRM,Drama,"$135,809",$0,100%,0%," Salli Richardson-Whitfield, Omari Hardwick, Michole Briana White "
Ava DuVernay,A Wrinkle in Time,2018,,"$132,675,864",Walt Disney Motion Pictures,Family,"$100,478,608","$32,197,256",75.70%,24%,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling"
Barry Jenkins,If Beale Street Could Talk,2018,,"$20,596,567",Annapurna Pictures,Drama,"$14,915,773","$5,680,794",72.40%,28%,"Kiki Layne, Stephan James, Regina King, Teyonah Parris"
Barry Jenkins,Medicine for Melancholy,2008,,"$111,551",IFC Films,Romance,"$111,551",$0,100%,0%,"Wyatt Cenac, Tracey Heggins, Elizabeth Acker"
Benh Zeitlin,Beasts of the Southern Wild,2012,,"$21,107,746",Fox Searchlight Pictures,Drama,"$12,795,746","$8,312,000",60.60%,39%,"Quvenzhane Wallis, Dwight Henry, Levy Easterly"
Bill Condon,Dreamgirls,2006,,"$155,430,335",DreamWorks Distribution,Drama,"$103,365,956","$52,064,379",66.50%,34%,"Beyonce Knowles, Jamie Foxx, Eddie Murphy"
Bill Gunn,Ganja and Hess,1973,,"$21,197",,Drama,"$21,197",-,100%,-,"Duane Jones, Marlene Clark, Bill Gunn"
Bille Woodruff,Beauty Shop,2005,,"$37,245,453",MGM,Comedy,"$36,351,350","$894,103",97.60%,2%,"Queen Latifah, Alicia Silverstone, Djimon Hounsou"
Biyi Bandele,Half of a Yellow Sun,2013,,"$306,393",Monterrey Media,Drama,"$54,529","$251,864",17.80%,82%,"Chiwetel Ejiofor, Thandiwe Newton, Anika Noni Rose "
Boots Riley,Sorry to Bother You,2018,,"$18,170,707",Annapurna Pictures,Comedy,"$17,493,096","$677,611",96.30%,4%,Lakeith Stanfield
Brett Leonard,Virtuosity,1995,,"$24,047,675",Paramount Pictures,Action,"$24,047,675",$0,100%,0%,"Denzel Washington, Russell Crowe, Kelly Lynch"
Brian Robbins,Good Burger,1997,,"$23,712,993",Paramount Pictures,Comedy,"$23,712,993",$0,100%,0%,"Kel Mitchell, Kenan Thompson, Sinbad"
Brian Robbins,Meet Dave,2008,,"$51,339,567",Twentieth Century Fox,Comedy,"$11,803,254","$39,536,313",23%,77%,"Eddie Murphy, Elizabeth Banks, Gabrielle Union"
Brian Robbins,A Thousand Words,2012,,"$22,044,277",DreamWorks Distribution,Comedy,"$18,450,127","$3,594,150",83.70%,16%,"Eddie Murphy, Cliff Curtis, Kerry Washington"
Brian Robbins,A Thousand Words,2012,,"$22,044,277",DreamWorks Distribution,Drama,"$18,450,127","$3,594,150",83.70%,16%,"Eddie Murphy, Cliff Curtis, Kerry Washington"
Brian Robbins,Good Burger,1997,,"$23,712,993",Paramount Pictures,Family,"$23,712,993",$0,100%,0%,"Kel Mitchell, Kenan Thompson, Sinbad"
Brian Welsh,Beats,2019,,"$319,595",Music Box Films,Drama,-,"$319,595",-,100%,
Bruce Beresford,Driving Miss Daisy,1989,,"$145,973,296",,Comedy,"$106,593,296","$39,200,000",73%,27%,"Morgan Freeman, Jessica Tandy, Dan Aykroyd"
Bruce Beresford,Driving Miss Daisy,1989,,"$145,973,296",,Drama,"$106,593,296","$39,200,000",73%,27%,"Morgan Freeman, Jessica Tandy, Dan Aykroyd"
Bryan Barber,Idlewild,2006,,"$12,643,027",Universal Pictures,Drama,"$12,571,185","$71,842",99.40%,1%,"Big Boi, Terrence Howard, Andr√© Benjamin"
