Director,Title,Year,Budget,Worldwide,Studio,Genre,Domestic,Foreign,Domestic %,Foreign%,Stars
Antoine Fuqua,The Equalizer,2014,"$55,000,000","$192,330,738",Sony Pictures Entertainment,Action,"$101,530,738","$90,800,000",52.80%,47%,"Denzel Washington, Marton Csokas, Chlo� Grace Moretz, David Harbour"
Gabriele Muccino,The Pursuit of Happyness,2006,"$55,000,000","$307,127,625",Sony Pictures Entertainment,Family,"$163,566,459","$143,561,166",53.30%,47%,"Will Smith, Thandie Newton, Jaden Smith"
Karey Kirkpatrick,Imagine That,2009,"$55,000,000","$22,985,194",Paramount Pictures,Family,"$16,123,323","$6,861,871",70.10%,30%,"Eddie Murphy, Thomas Haden Church, Yara Shahidi"
Tom Shadyac,The Nutty Professor,1996,"$54,000,001","$273,961,019",Universal Pictures,Romance,"$128,814,019","$145,147,000",47%,53%,"Eddie Murphy, Jada Pinkett Smith, James Coburn"
Guillermo del Toro,Blade II,2002,"$54,000,000","$155,010,032",New Line Cinema,Action,"$82,348,319","$72,661,713",53.10%,47%,"Wesley Snipes, Kris Kristofferson, Ron Perlman"
Tom Shadyac,The Nutty Professor,1996,"$54,000,000","$273,961,019",Universal Pictures,Comedy,"$128,814,019","$145,147,000",47%,53%,"Eddie Murphy, Jada Pinkett Smith, James Coburn"
Norman Jewison,The Hurricane,1999,"$50,000,000","$73,956,241",Universal Pictures,Drama,"$50,699,241","$23,257,000",68.60%,31%,Denzel Washington
Rawson Marshall Thurber,Central Intelligence,2016,"$50,000,000","$216,972,543",Warner Bros,Action,"$127,440,871","$89,531,672",58.70%,41%,"Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan"
Steve Capel Jr,Creed II,2018,"$50,000,000","$214,215,889",MGM,Drama,"$115,715,889","$98,500,000",54%,46%,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad"
"Chris Weitz, Paul Weitz",Down to Earth,2001,"$49,000,000","$71,186,502",Paramount Pictures,Comedy,"$64,186,502","$7,000,000",90.20%,10%,"Chris Rock, Regina King, Chazz Palminteri"
"Chris Weitz, Paul Weitz",Down to Earth,2001,"$49,000,000","$71,186,502",Paramount Pictures,Romance,"$64,186,502","$7,000,000",90.20%,10%,"Chris Rock, Regina King, Chazz Palminteri"
Spike Lee,Miracle at St. Anna,2008,"$45,000,000","$9,333,654",Walt Disney Motion Pictures,Action,"$7,919,117","$1,414,537",84.80%,15%,"Derek Luke, Michael Ealy, Laz Alonso"
Spike Lee,Inside Man,2006,"$45,000,000","$186,003,591",Universal Pictures,Drama,"$88,513,495","$97,490,096",47.60%,52%,"Denzel Washington, Clive Owen, Jodie Foster"
Wayne Wang,Last Holiday,2006,"$45,000,000","$43,451,846",Paramount Pictures,Comedy,"$38,399,961","$5,051,885",88.40%,12%,"Queen Latifah, LL Cool J, Timothy Hutton"
Wayne Wang,Last Holiday,2006,"$45,000,000","$43,451,846",Paramount Pictures,Drama,"$38,399,961","$5,051,885",88.40%,12%,"Queen Latifah, LL Cool J, Timothy Hutton"
John Whitesell,Big Momma's House 2,2006,"$40,000,001","$141,522,961",Twentieth Century Fox,Action,"$70,165,972","$71,356,989",49.60%,50%,"Martin Lawrence, Emily Procter, Nia Long"
Benny Boom,All Eyez on Me,2017,"$40,000,000","$55,668,698",Lionsgate,Drama,"$44,922,302","$10,746,396",80.70%,19%,"Demetrius Shipp Jr., Danai Gurira, Kat Graham, Annie Ilonzeh"
Brian Hegeland,42,2013,"$40,000,000","$97,470,701",Warner Bros,Drama,"$95,020,213","$2,450,488",97.50%,3%,"Chadiwick Boseman, T.R. Knight, Harrison Ford"
John Whitesell,Big Momma's House 2,2006,"$40,000,000","$141,522,961",Twentieth Century Fox,Comedy,"$70,165,972","$71,356,989",49.60%,50%,"Martin Lawrence, Emily Procter, Nia Long"
Malcolm D. Lee,Soul Men,2008,"$40,000,000","$12,331,637",MGM/Weinstein,Comedy,"$12,082,391","$249,246",98%,2%,"Samuel L. Jackson, Bernie Mac, Sharon Leal"
Taylor Hackford,Ray,2004,"$40,000,000","$123,971,376",Universal Pictures,Drama,"$75,331,600","$48,639,776",60.80%,39%,"Jamie Foxx, Regina King, Kerry Washington, lifton Powell"
Tim Story,Ride Along 2,2016,"$40,000,000","$124,605,297",Universal Pictures,Action,"$91,221,830","$33,383,467",73.20%,27%,"Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt"
Bill Duke,Sister Act 2: Back in the Habit,1993,"$38,000,000","$57,319,029",,Comedy,"$57,319,029",,100%,,"Whoopi Goldberg, Kathy Najimy, Maggie Smith, Barnard Hughes"
Tyler Perry,Temptation: Confessions of a Marriage Counselor,2013,"$37,000,000","$53,143,144",Lionsgate,Drama,"$51,975,354","$1,167,790",97.80%,2%,"Jurnee Smollett-Bell, Lance Gross, Kim Kardashian
Vanessa Williams"
Keenen Ivory Wayans,White Chicks,2004,"$37,000,000","$113,086,475",Sony Pictures Entertainment,Comedy,"$70,831,760","$42,254,715",62.60%,37%,"Marlon Wayans, Shawn Wayans, Busy Philipps"
Nick Cassavetes,John Q,2002,"$36,000,000","$102,244,770",New Line Cinema,Drama,"$71,756,802","$30,487,968",70.20%,30%,"Denzel Washington, Robert Duvall, Gabriela Oltean"
Steven Spielberg,Amistad,1997,"$36,000,000","$44,229,441",DreamWorks Distribution,Drama,"$44,229,441",$0,100%,0%,"Djimon Hounsou, Matthew McConaughey, Anthony Hopkins"
Chris Rock,Head of State,2003,"$35,200,000","$38,620,484",DreamWorks Distribution,Comedy,"$38,125,247","$495,237",98.70%,1%,"Chris Rock, Bernie Mac, Lynn Whitfield"
Michael Tollin,Radio,2003,"$35,000,000","$53,293,628",Revolution Studios,Drama,"$52,333,738","$959,890",98.20%,2%,"Cuba Gooding Jr., Ed Harris, Debra Winger"
Ryan Coogler,Creed,2015,"$35,000,000","$173,567,581",Warner Bros,Drama,"$109,767,581","$63,800,000",63.20%,37%,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad"
Troy Byer,Love Don't Cost a Thing,2003,"$35,000,000","$21,964,072",Warner Bros,Comedy,"$21,924,226","$39,846",99.80%,0%,"Nick Cannon, Christina Milian, Jordan Burg"
Troy Byer,Love Don't Cost a Thing,2003,"$35,000,000","$21,964,072",Warner Bros,Drama,"$21,924,226","$39,846",99.80%,0%,"Nick Cannon, Christina Milian, Jordan Burg"
Troy Byer,Love Don't Cost a Thing,2003,"$35,000,000","$21,964,072",Warner Bros,Romance,"$21,924,226","$39,846",99.80%,0%,"Nick Cannon, Christina Milian, Jordan Burg"
Kathryn Bigelow,Detroit,2017,"$34,000,000","$23,355,100",Annapurna Pictures,Drama,"$16,790,139","$6,564,961",71.90%,28%,"John Boyega, Anthony Mackie"
Steve Carr,Rebound,2005,"$33,100,000","$17,492,014",Twentieth Century Fox,Comedy,"$16,809,014","$683,000",96.10%,4%,"Martin Lawrence, Megan Mullally, Breckin Meyer"
Steve Carr,Rebound,2005,"$33,100,000","$17,492,014",Twentieth Century Fox,Family,"$16,809,014","$683,000",96.10%,4%,"Martin Lawrence, Megan Mullally, Breckin Meyer"
Adam Shankman,Bringing Down the House,2003,"$33,000,000","$164,729,679",Walt Disney Motion Pictures,Comedy,"$132,716,677","$32,013,002",80.60%,19%,"Steve Martin, Queen Latifah, Eugene Levy"
Brett Ratner,Rush Hour,1998,"$33,000,000","$244,386,864",New Line Cinema,Action,"$141,186,864","$103,200,000",57.80%,42%,"Jackie Chan, Chris Tucker, Ken Leung"
Brett Ratner,Rush Hour,1998,"$33,000,000","$244,386,864",New Line Cinema,Comedy,"$141,186,864","$103,200,000",57.80%,42%,"Jackie Chan, Chris Tucker, Ken Leung"
Brian Kirk,21 Bridges,2019,"$33,000,000","$49,939,757",STX Entertainment,Action,"$28,539,757","$21,400,000",57.10%,43%,"Chadwick Boseman, Sienna Miller, J.K. Simmons, Stephen James"
Brian Levant,Snow Dogs,2002,"$33,000,000","$115,035,090",Walt Disney Motion Pictures,Comedy,"$81,172,560","$33,862,530",70.60%,29%,"Cuba Gooding Jr., James Coburn, Sisqó"
Brian Levant,Snow Dogs,2002,"$33,000,000","$115,035,090",Walt Disney Motion Pictures,Family,"$81,172,560","$33,862,530",70.60%,29%,"Cuba Gooding Jr., James Coburn, Sisqó"
Spike Lee,Malcolm X,1992,"$33,000,000","$48,169,910",,Drama,"$48,169,910",-,100%,-,Demzel Washington
Brian LeVant,Are We There Yet?,2005,"$32,000,000","$97,918,663",Revolution Studios,Comedy,"$82,674,398","$15,244,265",84.40%,16%,"Ice Cube, Nia Long, Aleisha Allen"
Brian LeVant,Are We There Yet?,2005,"$32,000,000","$97,918,663",Revolution Studios,Drama,"$82,674,398","$15,244,265",84.40%,16%,"Ice Cube, Nia Long, Aleisha Allen"
Brian LeVant,Are We There Yet?,2005,"$32,000,000","$97,918,663",Revolution Studios,Family,"$82,674,398","$15,244,265",84.40%,16%,"Ice Cube, Nia Long, Aleisha Allen"
Isaac Florentine,Undisputed 2: Last Man Standing,2006,"$32,000,000","$1,361",Revolution Studios,Action,-,"$1,361",-,100%,"Michael Jai White, Scott Adkins, Ben Cross"
Robert Zemeckis,Flight,2012,"$31,000,000","$161,772,375",Paramount Pictures,Drama,"$93,772,375","$68,000,000",58%,42%,"Denzel Washington, Nadine Velazquez, Don Cheadle"
Raja Gosnell,Big Momma's House,2000,"$30,000,001","$173,959,438",Twentieth Century Fox,Action,"$117,559,438","$56,400,000",67.60%,32%,"Martin Lawrence, Nia Long, Paul Giamatti"
Bill Duke,Hoodlum,1997,"$30,000,000","$23,499,102",MGM,Drama,"$23,499,102",$0,100%,0%,"Laurence Fishburne, Tim Roth, Vanessa Williams"
Boaz Yakin,Remember the Titans,2000,"$30,000,000","$136,771,683",Walt Disney Motion Pictures,Drama,"$115,654,751","$21,116,932",84.60%,15%,Denzel Washington
John Schultz,Like Mike,2002,"$30,000,000","$62,274,780",Twentieth Century Fox,Comedy,"$51,432,760","$10,842,020",82.60%,17%,"Bow Wow, Jonathan Lipnicki, Morris Chestnut"
John Schultz,Like Mike,2002,"$30,000,000","$62,274,780",Twentieth Century Fox,Family,"$51,432,760","$10,842,020",82.60%,17%,"Bow Wow, Jonathan Lipnicki, Morris Chestnut"
Jonathan Lynn,The Fighting Temptations,2003,"$30,000,000","$33,972,062",Paramount Pictures,Comedy,"$30,250,745","$3,721,317",89%,11%,Sanaa Lathan
Jonathan Lynn,The Fighting Temptations,2003,"$30,000,000","$33,972,062",Paramount Pictures,Family,"$30,250,745","$3,721,317",89%,11%,Alfre Woodard
Kevin Rodney Sullivan,Barbershop 2: Back in Business,2004,"$30,000,000","$65,991,448",MGM,Comedy,"$65,111,277","$880,171",98.70%,1%,"Ice Cube, Cedric the Entertainer, Eve"
Kevin Rodney Sullivan,Barbershop 2: Back in Business,2004,"$30,000,000","$65,991,448",MGM,Drama,"$65,111,277","$880,171",98.70%,1%,"Ice Cube, Cedric the Entertainer, Eve"
Lee Daniels,Lee Daniels' The Butler,2013,"$30,000,000","$177,313,795",The Weinstein Company,Drama,"$116,632,095","$60,681,700",65.80%,34%,"Forest Whitaker, Oprah Winfrey, John Cusack"
Raja Gosnell,Big Momma's House,2000,"$30,000,000","$173,959,438",Twentieth Century Fox,Comedy,"$117,559,438","$56,400,000",67.60%,32%,"Martin Lawrence, Nia Long, Paul Giamatti"
Thomas Carter,Coach Carter,2005,"$30,000,000","$76,669,554",Paramount Pictures,Drama,"$67,264,877","$9,404,677",87.70%,12%,"Samuel L. Jackson, Rick Gonzalez, Robert Richard"
Thomas Carter,Coach Carter,2005,"$30,000,000","$76,669,554",Paramount Pictures,Drama,"$67,264,877","$9,404,677",87.70%,12%,"Samuel L. Jackson, Rick Gonzalez, Robert Ri’chard"
F. Gary Gray,Straight Outta Compton,2015,"$28,000,000","$201,634,991",Universal Pictures,Drama,"$161,197,785","$40,437,206",79.90%,20%,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr."
Carl Franklin,Devil in a Blue Dress,1995,27000000,"$16,140,822",Sony Pictures Entertainment,Action,"$16,140,822",$0,100%,0%,"Denzel Washington, Tom Sizemore, Jennifer Beals"
Carl Franklin,Devil in a Blue Dress,1995,27000000,"$16,140,822",Sony Pictures Entertainment,Drama,"$16,140,822",$0,100%,0%,"Denzel Washington, Tom Sizemore, Jennifer Beals"
Tyler Perry,Boo 2! A Madea Halloween,2017,"$25,000,000","$48,333,932",Lionsgate,Comedy,"$47,319,572","$1,014,360",97.90%,2%,Tyler Perry
Tyler Perry,A Madea Christmas,2013,"$25,000,000","$53,396,635",Lionsgate,Comedy,"$52,543,354","$853,281",98.40%,2%,"Anna maria Horsford, Tika Sumpter, Chad Michael Murray"
Tyler Perry,Madea's Big Happy Family,2011,"$25,000,000","$54,161,287",Lionsgate,Comedy,"$53,345,287","$816,000",98.50%,2%,"Tyler Perry, Loretta Devine, Bow Wow"
 Tate Taylor,The Help,2011,"$25,000,000","$216,639,112",Walt Disney Motion Pictures,Drama,"$169,708,112","$46,931,000",78.30%,22%,"Viola Davis, Octavia Spencer, Emma Stone"
Destin Daniel Cretton,Just Mercy,2019,"$25,000,000","$50,401,502",Warner Bros,Drama,"$36,001,502","$14,400,000",71.40%,29%,"Michael b. Jordan, Jamie Foxx"
Malcolm D. Lee,Undercover Brother,2002,"$25,000,000","$41,604,473",Universal Pictures,Action,"$39,089,928","$2,514,545",94%,6%,"Eddie Griffin, Denise Richards, Aunjanue Ellis"
Malcolm D. Lee,Undercover Brother,2002,"$25,000,000","$41,604,473",Universal Pictures,Comedy,"$39,089,928","$2,514,545",94%,6%,"Eddie Griffin, Denise Richards, Aunjanue Ellis"
Spike Lee,Clockers,1995,"$25,000,000","$13,071,518",Universal Pictures,Action,"$13,071,518",$0,100%,0%,"Delroy Lindo, Mekhi Phifer, Isaiah Washington"
Spike Lee,Clockers,1995,"$25,000,000","$13,071,518",Universal Pictures,Drama,"$13,071,518",$0,100%,0%,"Harvey Keitel, John Turturro, Delroy Lindo"
Spike Lee,He Got Game,1998,"$25,000,000","$21,567,853",Walt Disney Motion Pictures,Drama,"$21,567,853",$0,100%,0%,"Denzel Washington, Milla Jovovich, Ray Allen"
Theodore Melfi,Hidden Figures,2016,"$25,000,000","$235,956,898",Twentieth Century Fox,Drama,"$169,607,287","$66,349,611",71.90%,28%,"Taraji P. Henson, Octavia Spencer,"
Tim Story,Ride Along,2014,"$25,000,000","$154,468,902",Universal Pictures,Action,"$134,938,200","$19,530,702",87.40%,13%,"Ice Cube, Kevin Hart, Tika Sumpter, John Leguizamo"
Denzel Washington,Fences,2016,"$24,000,000","$64,414,761",Paramount Pictures,Drama,"$57,682,904","$6,731,857",89.50%,11%,"Denzel Washington, Viola Davis, Stephen McKinley Henderson "
Reggie Rock Bythewood,Biker Boyz,2003,"$24,000,000","$23,510,621",DreamWorks Distribution,Action,"$22,076,772","$1,433,849",93.90%,6%,"Laurence Fishburne, Derek Luke, Orlando Jones"
Reggie Rock Bythewood,Biker Boyz,2003,"$24,000,000","$23,510,621",DreamWorks Distribution,Drama,"$22,076,772","$1,433,849",93.90%,6%,"Laurence Fishburne, Derek Luke, Orlando Jones"
Reginald Hudlin,The Ladies Man,2000,"$24,000,000","$13,743,212",Paramount Pictures,Comedy,"$13,616,610","$126,602",99.10%,1%,"Tim Meadows, Karyn Parsons, Billy Dee Williams"
Tim Story,Think Like a Man Too,2014,"$24,000,000","$70,181,428",Screen Gems,Romance,"$65,182,182","$4,999,246",92.90%,7%,Gabrielle Union
George Tillman Jr.,The Hate U Give,2018,"$23,000,000","$34,934,009",Twentieth Century Fox,Drama,"$29,719,483","$5,214,526",85.10%,15%,"�Amandla Stenberg,�Regina Hall,�Russell Hornsby"
Peter Farrelly,Green Book,2018,"$23,000,000","$321,752,656",Universal Pictures,Drama,"$85,080,171","$236,672,485",26.40%,74%,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco"
Heffrey Nachmanoff,Traitor,2008,"$22,000,000","$27,674,464",Overture Films,Action,"$23,530,831","$4,143,633",85%,15%,"Don Cheadle, Guy Pearce, Said, Taghmaoul"
Tyler Perry,For Colored Girls,2010,"$21,000,000","$37,981,984",Lionsgate,Drama,"$37,729,698","$252,286",99.30%,1%,
Tyler Perry,Meet the Browns,2008,"$20,000,000","$41,975,388",Lionsgate,Comedy,"$41,975,388",$0,100%,0%,"Tamela J. Mann, Angela Bassett, Tyler Perry"
Tyler Perry,Meet the Browns,2008,"$20,000,000","$41,975,388",Lionsgate,Romance,"$41,975,388",$0,100%,0%,"Tamela J. Mann, Angela Bassett, Tyler Perry"
Tyler Perry,Acrimony,2018,"$20,000,000","$46,403,669",Lionsgate,Action,"$43,549,096","$2,854,573",93.80%,6%,"Taraji P. Henson, Lyriq Bent"
Adam Shankman,What Men Want,2019,"$20,000,000","$72,216,294",Paramount Pictures,Comedy,"$54,611,903","$17,604,391",75.60%,24%,"Taraji P. Henson, Kristen Ledlow, Josh Brener, Kellan Lutz"
Adam Shankman,What Men Want,2019,"$20,000,000","$72,216,294",Paramount Pictures,Romance,"$54,611,903","$17,604,391",75.60%,24%,"Taraji P. Henson, Kristen Ledlow, Josh Brener, Kellan Lutz"
Ava DuVernay,Selma,2014,"$20,000,000","$66,787,908",Paramount Pictures,Drama,"$52,076,908","$14,711,000",78%,22%,"David Oweloyo, Carmen Ejogo, Oprah Winfrey, Tim Roth"
Charles Stone III,Drumline,2002,"$20,000,000","$57,588,485",Twentieth Century Fox,Comedy,"$56,399,184","$1,189,301",97.90%,2%,"Nick Cannon, Zoe Saldana, Orlando Jones"
Charles Stone III,Drumline,2002,"$20,000,000","$57,588,485",Twentieth Century Fox,Drama,"$56,399,184","$1,189,301",97.90%,2%,"Nick Cannon, Zoe Saldana, Orlando Jones"
Charles Stone III,Drumline,2002,"$20,000,000","$57,588,485",Twentieth Century Fox,Romance,"$56,399,184","$1,189,301",97.90%,2%,"Nick Cannon, Zoe Saldana, Orlando Jones"
Chris Robinson,ATL,2006,"$20,000,000","$21,170,563",Warner Bros,Comedy,"$21,170,563",$0,100%,0%,"T.I., Lauren London, Evan Ross"
Chris Robinson,ATL,2006,"$20,000,000","$21,170,563",Warner Bros,Drama,"$21,170,563",$0,100%,0%,"T.I., Lauren London, Evan Ross"
George Tillman Jr.,Notorious,2009,"$20,000,000","$44,420,167",Fox Searchlight Pictures,Drama,"$36,843,682","$7,576,485",82.90%,17%,"Jamal Woolard, Anthony Mackie, Derek Luke, Momo Dione"
Jesse Dylan,How High,2001,"$20,000,000","$31,283,740",Universal Pictures,Comedy,"$31,178,740","$105,000",99.70%,0%,"Method Man, Redman, Obba Babatundé"
Jordan Peele,Us,2019,"$20,000,000","$255,184,580",Universal Pictures,Horror,"$175,084,580","$80,100,000",68.60%,31%,
